outcome,specification,calendar_block_days,term,coefficient,hac_se,block_wild_low,block_wild_high,n,r_squared,design_condition_number,rank
log_orders,market_adjusted,14,year_2021,-0.24888701118103682,0.401108965342881,-1.037836711076631,0.5102124548324143,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,14,log_price,-0.6067435306005469,0.1867496513761808,-0.9463502588355674,-0.21946352878452394,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,14,log_vol,1.0041356319646444,0.240935543873979,0.5586958357093309,1.4406814770579062,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,14,lag_return_30d,0.6175530678684839,0.2773098121210933,0.04691231663072687,1.1680001917044067,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,intercept,8.256642928509448,1.9272510392593352,4.3325933430345165,12.074825507519085,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,year_2019,-0.8378738293582425,0.28108228693754694,-1.3568614509332468,-0.2427576125711287,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,year_2020,-0.551498855791744,0.3187153612164376,-1.2023105882947644,0.15517558349153993,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,year_2021,-0.24888701118103682,0.4601838527193878,-1.2403652504106921,0.6553633412574784,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,log_price,-0.6067435306005469,0.21334014748148056,-1.0398237369446712,-0.16847695653700376,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,log_vol,1.0041356319646444,0.28649301992754495,0.42730801990481126,1.5984862004569886,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,28,lag_return_30d,0.6175530678684839,0.30697667220715613,-0.040659553743708915,1.286716919267575,1389,0.1752859081599415,292.55371872101887,7
log_orders,capital_and_market,7,intercept,8.436586156653094,1.5079916680941412,5.728533036864083,11.372504796484243,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,year_2019,-0.7558372688158606,0.3239928407697349,-1.3692166247598507,-0.10754379681016824,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,year_2020,-0.4346583302607732,0.4217281535493684,-1.3189696030706042,0.5071335690167701,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,year_2021,-0.09935163239788568,0.5497220328640436,-1.2349624847592693,1.09753470580305,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,log_capital,-0.028485041323316196,0.09469296612108158,-0.24967389123604403,0.16330755473685615,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,log_price,-0.5911867262474394,0.17971737968875265,-0.9640087947189607,-0.23147477911869582,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,log_vol,0.9973885933070207,0.19774997255356336,0.6364045517946482,1.3686840400476459,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,7,lag_return_30d,0.6057808434614761,0.24931042432487283,0.11225017056294964,1.0387237078353289,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,intercept,8.436586156653094,1.7151688958416358,4.942244971276305,11.778363505568294,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,year_2019,-0.7558372688158606,0.38144030578310306,-1.5025044163294181,-0.07564732403279599,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,year_2020,-0.4346583302607732,0.49159978182204345,-1.2931923763618538,0.4652358192019157,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,year_2021,-0.09935163239788568,0.6178158671255349,-1.2485683239830212,1.1084327489509502,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,log_capital,-0.028485041323316196,0.10873727283586711,-0.23126957239120816,0.1614194886648871,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,log_price,-0.5911867262474394,0.20808860445811686,-0.9294114667354793,-0.16949692689717777,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,log_vol,0.9973885933070207,0.24133387626498146,0.5347849490418605,1.4392917718745677,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,14,lag_return_30d,0.6057808434614761,0.28332996028610696,0.029665226060289217,1.196223437700421,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,intercept,8.436586156653094,1.9647097818677688,4.296230090805273,12.647467170181324,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,year_2019,-0.7558372688158606,0.4557271817018177,-1.6223660270693436,0.009684703095934109,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,year_2020,-0.4346583302607732,0.5824108122344097,-1.5311979169481582,0.5687397466485646,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,year_2021,-0.09935163239788568,0.7206457147134051,-1.4828676124366271,1.1667275406427369,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,log_capital,-0.028485041323316196,0.1307111426196734,-0.24994570652194045,0.21341198176400789,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,log_price,-0.5911867262474394,0.24043508150106643,-1.0700598876372602,-0.11641411437149286,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,log_vol,0.9973885933070207,0.2877317243605401,0.39829741240962724,1.5919989580898828,1389,0.17548494676265602,577.5383846974288,8
log_orders,capital_and_market,28,lag_return_30d,0.6057808434614761,0.3160477090366726,-0.037028031116716285,1.2793691880926155,1389,0.17548494676265602,577.5383846974288,8
log_size,year_only,7,intercept,11.743154315420655,0.18512852114924022,11.395617809318342,12.094480268309244,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,7,year_2019,1.859226133526417,0.21862018501723565,1.452215998524026,2.312329744270799,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,7,year_2020,2.6104672810706493,0.21087963714905456,2.1685387072172975,3.0293552872945533,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,7,year_2021,3.870369450260825,0.18949737477409667,3.497658542189912,4.247744986445433,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,14,intercept,11.743154315420655,0.21397866902175008,11.30099777937828,12.194153460906756,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,14,year_2019,1.859226133526417,0.25867239733091313,1.3426795831951734,2.4085504427753017,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,14,year_2020,2.6104672810706493,0.24311352021489782,2.1401547395201304,3.0701406764707833,1026,0.5091831378815335,5.117717247321617,4
