date,gross_btc_contracts_btc,gross_alt_contracts_btc,fee_credit_btc,funding_credit_btc,unrealised_change_btc,wallet_btc_fx_usd,prior_unrealised_fx_usd,gross_btc_contracts_usd,gross_alt_contracts_usd,fee_credit_usd,funding_credit_usd,unrealised_change_usd,flow_usd_eod,reference_gain_usd,decomposition_complete,residual_usd
2018-10-06,0.0,0.80246681,-0.07936031,-6e-08,1.010945791435347e-05,-309.86358061701156,0.00012135242571748042,0.0,5256.541438132151,-519.847989797875,-0.0003930286989538284,0.06622178485344714,0.0,4426.895817825847,True,3.637978807091713e-12
2018-10-07,0.0,0.115,-0.02179016,3.9e-07,-3.83467936515558e-07,136.11300016780706,9.312567307626177e-05,0.0,754.9253499094093,-143.04299271810447,0.0025601816214319098,-0.0025173014448091023,0.0,747.9954933649642,True,2.6147972675971687e-12
2018-10-08,0.0,0.35999999,0.00303223,4.7e-07,-0.784207064321425,391.2814571804939,0.0002497646535977507,0.0,2377.6866326322825,20.02692482871065,0.0031042020788310935,-5179.440849575737,1778.138797533852,-2390.4424809675265,True,-8.640199666842818e-12
2018-10-09,0.0,0.1062877,-0.06440271,3.7e-07,0.7842056769613528,-148.06617347964092,11.180078418434626,0.0,700.4815002625766,-424.4414633280769,0.0024384585901957925,5168.251539099236,0.0,5307.407919431134,True,1.546140993013978e-11
2018-10-10,-0.11947104,0.0814372,0.0604175,4.6e-07,-1.985549202387915e-06,-639.4877541667811,-0.000296729408153071,-780.0386582957331,531.7118209012098,394.4720464271714,0.0030033871205610765,-0.01296385413411344,0.0,-493.3528023305553,True,-6.252776074688882e-13
2018-10-11,2.45221874,0.0,-0.41530499,0.00805667,-0.03370894499200361,-3864.95189760418,-0.001055182136887061,15103.832302375837,0.0,-2557.9679418402425,49.6230579314398,-207.6218748125358,423.75386453313195,8522.91259086818,True,0.0
2018-10-12,0.35347885,0.0,-0.03069868,-0.00805592,0.03373906544084271,407.3885108766469,-1.0929396046285693,2188.62694444958,0.0,-190.07631774018566,-49.879656376414765,208.90140302418658,0.0,2563.867944629179,True,-5.4569682106375694e-12
2018-10-13,0.0,0.0,-0.0,-2.5e-07,-2.5637926324151294e-06,77.380266838974,0.00019812004550170446,0.0,0.0,-0.0,-0.0015494214240940976,-0.01588958092639442,0.0,77.36302595667075,True,1.7479351299698465e-12
2018-10-14,0.0,0.0600315,-0.00971002,1.1e-07,-2.6555269636574508e-05,-190.68396159677474,-0.0004502559909082189,0.0,371.1675213539315,-60.03588209018767,0.0006801167278667443,-0.1641880281167833,0.0,120.28371949956636,True,-2.2893686946190428e-11
2018-10-15,5.29226861,0.0,-0.29875042,0.00391291,0.09897165771752547,3359.380430898984,0.0010015071288251218,34096.58054912694,0.0,-1924.7639358984663,25.20976557092863,637.6462247342787,1245.6028355722663,36194.0540359398,True,7.275957614183426e-12
2018-10-16,-0.19210605,0.0,-0.10078935,0.0047054,-0.09898616870768251,348.2905603641559,1.9024820724395766,-1241.377223014349,0.0,-651.2944460230237,30.4059991091989,-639.6424018253084,0.0,-2151.7150293168816,True,5.002220859751105e-12
2018-10-17,0.0,0.0,-0.0,2.4e-07,2.5511141998890707e-06,-342.4784729029015,0.00020467573384712768,0.0,0.0,-0.0,0.0015462553680420815,0.016436141775278565,0.0,-342.46028582999134,True,3.296918293926865e-11
2018-10-18,0.24950382,0.0,-0.00012813,2.4e-07,3.917316920620806e-06,-824.7191041034353,0.0003748863546491784,1595.9461476713807,0.0,-0.8195809583241412,0.0015351551549035655,0.025057038600341634,0.0,770.4344296896743,True,-5.6843418860808015e-11
2018-10-19,0.0,0.0,-0.0,1.5e-07,-7.530099779273769e-07,-242.3183468913589,5.612984877506257e-05,0.0,0.0,-0.0,0.000957461676022794,-0.004806521303521556,0.0,-242.32213982111716,True,2.0463630789890885e-11
2018-10-20,0.0,0.0,-0.0,1.3e-07,-3.05062555838731e-06,455.1823961020237,-0.00012439395269080148,0.0,0.0,-0.0,0.0008330728570251321,-0.019549179612612346,0.0,455.1635556013207,True,5.343281372915953e-12
2018-10-21,0.0,0.0,-0.0,2.2e-07,2.5039293660711337e-07,128.1522965377513,-5.6644031431635406e-05,0.0,0.0,-0.0,0.0014113749106428996,0.0016063559478612629,0.0,128.1552576246031,True,2.4726887204451486e-11
2018-10-22,0.0,0.0,-0.0,3e-07,1.388565308957368e-06,-132.11399547744224,5.656553583013748e-05,0.0,0.0,-0.0,0.001922410090677966,0.008897973205016707,0.0,-132.10311852864106,True,-3.035438567167148e-11
2018-10-23,0.0,0.0,-0.0,1.3e-07,1.7466580004565913e-07,-217.80073638721518,7.652630042594725e-05,0.0,0.0,-0.0,0.0008314783966919937,0.0011171603029145308,0.0,-217.79871122224722,True,-3.2088109946926124e-11
2018-10-24,0.0,0.0,-0.0,1.2e-07,1.2330405141369738e-07,322.1270478809763,-0.00011007047135388975,0.0,0.0,-0.0,0.0007696564369374635,0.0007908479739251678,0.0,322.12849831496715,True,5.132960723130964e-11
2018-10-25,0.0,0.0,-0.0,1.8e-07,9.654025525662746e-07,-207.54555008565654,6.950271402239797e-05,0.0,0.0,-0.0,0.001152418474646406,0.006180820761378739,0.0,-207.5381473437301,True,-2.3590018827235326e-11
