date,grid_seconds,max_age_seconds,snapshots,valid_snapshots,coverage,peak_gross_usd,min_equity_btc,max_abs_basis_equity_usd
2020-01-01,60,60,1440,1440,1.0,2500254.0,376.8370921095211,250.07020424468368
2020-01-01,60,300,1440,1440,1.0,2500254.0,376.8370921095211,250.07020424468368
2020-01-01,300,30,288,288,1.0,2500253.9999999995,376.8370921095211,246.58536056867658
2020-01-01,300,60,288,288,1.0,2500253.9999999995,376.8370921095211,246.58536056867658
2020-01-01,300,300,288,288,1.0,2500253.9999999995,376.8370921095211,246.58536056867658
2020-02-01,10,30,8640,8620,0.9976851851851852,7999522.83265242,425.13288320777997,88345.41206200336
2020-02-01,10,60,8640,8640,1.0,7999522.83265242,425.13288320777997,88345.41206200336
2020-02-01,10,300,8640,8640,1.0,7999522.83265242,425.13288320777997,88345.41206200336
2020-02-01,60,30,1440,1436,0.9972222222222222,7994562.669883797,425.30996642038855,88345.41206200336
2020-02-01,60,60,1440,1440,1.0,7994562.669883797,425.30996642038855,88345.41206200336
2020-02-01,60,300,1440,1440,1.0,7994562.669883797,425.30996642038855,88345.41206200336
2020-02-01,300,30,288,287,0.9965277777777778,7994562.429778923,426.05784896431777,87860.53801940178
2020-02-01,300,60,288,288,1.0,7994562.429778923,426.05784896431777,87860.53801940178
2020-02-01,300,300,288,288,1.0,7994562.429778923,426.05784896431777,87860.53801940178
2020-03-01,10,30,8640,8640,1.0,7500620.707763928,415.430374183966,473.8391661415609
2020-03-01,10,60,8640,8640,1.0,7500620.707763928,415.430374183966,473.8391661415609
2020-03-01,10,300,8640,8640,1.0,7500620.707763928,415.430374183966,473.8391661415609
2020-03-01,60,30,1440,1440,1.0,7500620.562274919,415.484475525116,473.8391661415609
2020-03-01,60,60,1440,1440,1.0,7500620.562274919,415.484475525116,473.8391661415609
2020-03-01,60,300,1440,1440,1.0,7500620.562274919,415.484475525116,473.8391661415609
2020-03-01,300,30,288,288,1.0,7500610.818518333,415.708118551543,473.8391661415609
2020-03-01,300,60,288,288,1.0,7500610.818518333,415.708118551543,473.8391661415609
2020-03-01,300,300,288,288,1.0,7500610.818518333,415.708118551543,473.8391661415609
2020-04-01,10,30,8640,8640,1.0,4001448.8778342837,595.4034920430062,1770.494041736144
2020-04-01,10,60,8640,8640,1.0,4001448.8778342837,595.4034920430062,1770.494041736144
2020-04-01,10,300,8640,8640,1.0,4001448.8778342837,595.4034920430062,1770.494041736144
2020-04-01,60,30,1440,1440,1.0,4001443.2591971382,596.3578033773936,1770.2765470104378
2020-04-01,60,60,1440,1440,1.0,4001443.2591971382,596.3578033773936,1770.2765470104378
2020-04-01,60,300,1440,1440,1.0,4001443.2591971382,596.3578033773936,1770.2765470104378
2020-04-01,300,30,288,288,1.0,4001430.4013554654,597.2578996998445,1751.192623618623
2020-04-01,300,60,288,288,1.0,4001430.4013554654,597.2578996998445,1751.192623618623
2020-04-01,300,300,288,288,1.0,4001430.4013554654,597.2578996998445,1751.192623618623
2020-05-01,10,30,8640,8640,1.0,8000588.000000001,564.6572346324774,802.3209762689663
2020-05-01,10,60,8640,8640,1.0,8000588.000000001,564.6572346324774,802.3209762689663
2020-05-01,10,300,8640,8640,1.0,8000588.000000001,564.6572346324774,802.3209762689663
2020-05-01,60,30,1440,1440,1.0,8000588.0,565.9195963433898,801.6085765819595
2020-05-01,60,60,1440,1440,1.0,8000588.0,565.9195963433898,801.6085765819595
2020-05-01,60,300,1440,1440,1.0,8000588.0,565.9195963433898,801.6085765819595
2020-05-01,300,30,288,288,1.0,8000588.0,566.2175096966042,792.0125055113073
2020-05-01,300,60,288,288,1.0,8000588.0,566.2175096966042,792.0125055113073
2020-05-01,300,300,288,288,1.0,8000588.0,566.2175096966042,792.0125055113073
2020-06-01,10,30,8640,8640,1.0,48.00000000000001,537.9408728186578,0.004823686309656108
2020-06-01,10,60,8640,8640,1.0,48.00000000000001,537.9408728186578,0.004823686309656108
2020-06-01,10,300,8640,8640,1.0,48.00000000000001,537.9408728186578,0.004823686309656108
2020-06-01,60,30,1440,1440,1.0,48.00000000000001,537.9408737156677,0.004821425208272023
