date,asset,gross_sat,fee_sat,funding_credit_sat
2018-09-16,btc,0,0,-8
2018-09-16,eth,-156287425,185054,878639
2018-09-17,btc,0,0,-2
2018-09-17,eth,87146051,-362170,-305846
2018-09-18,btc,0,0,-4
2018-09-18,eth,-522987526,5041893,-4237187
2018-09-18,xrp,-224523863,10201542,0
2018-09-19,btc,0,0,0
2018-09-19,eth,401067068,7527149,-1033656
2018-09-20,btc,0,0,-2
2018-09-20,eth,64881947,2593716,-189
2018-09-21,ada,227,3,0
2018-09-21,btc,-463,11,-10
2018-09-21,eth,-18567910,13839058,6645414
2018-09-21,xrp,-1379438758,82611353,0
2018-09-22,eth,14750000,612815,0
2018-09-22,xrp,14568084,3464488,0
2018-09-23,eth,8750000,-614558,0
2018-09-23,xrp,1600000,-426499,0
2018-09-24,btc,-5278547,4607667,-298276
2018-09-24,eth,-13196140,15562,0
2018-09-25,btc,653,23,-2
2018-09-25,eth,192459148,-3282530,2393224
2018-09-25,xrp,10852236,1858528,0
2018-09-26,bch,920000,268220,0
2018-09-26,btc,0,0,0
2018-09-26,eth,86198367,13917104,457861
2018-09-26,xrp,19878792,5008558,0
2018-09-27,btc,0,0,-3
2018-09-27,eth,46375112,-3809028,7
2018-09-28,btc,0,0,-4
2018-09-28,eth,-146992997,16727128,37496
2018-09-29,btc,0,0,-6
2018-09-29,eth,27586772,4788398,12
2018-09-30,btc,0,0,-6
2018-10-01,btc,0,0,-9
2018-10-02,btc,0,0,-6
2018-10-02,eth,-2583333,-2269663,-3682056
2018-10-02,xrp,0,-403445,0
2018-10-03,btc,0,0,-6
2018-10-03,eth,-52681392,9112722,43
2018-10-03,xrp,10350000,820625,0
2018-10-04,btc,0,0,-9
2018-10-04,eth,0,0,21
2018-10-05,btc,0,0,-11
2018-10-05,eth,0,0,32
2018-10-06,btc,0,0,-12
2018-10-06,eth,25999195,-642460,6
2018-10-06,xrp,54247486,8578491,0
2018-10-07,btc,0,0,-6
2018-10-07,eth,0,0,45
2018-10-07,xrp,11500000,2179016,0
2018-10-08,ada,0,-1165226,0
2018-10-08,btc,0,0,-9
2018-10-08,eth,0,0,56
2018-10-08,trx,35999999,862003,0
2018-10-09,ada,-15308195,4426980,0
2018-10-09,btc,0,0,-11
2018-10-09,eth,0,0,48
2018-10-09,trx,25936965,2013291,0
2018-10-10,btc,-11947104,-8595073,-6
2018-10-10,eth,0,0,52
2018-10-10,xrp,8143720,2553323,0
2018-10-11,btc,245221874,41530499,805652
2018-10-11,eth,0,0,15
2018-10-12,btc,35347885,3069868,-805594
2018-10-12,eth,0,0,2
2018-10-13,btc,0,0,-8
2018-10-13,eth,0,0,-17
2018-10-14,btc,0,0,-4
2018-10-14,eth,6003150,971002,15
2018-10-15,btc,529226861,29875042,391252
2018-10-15,eth,0,0,39
2018-10-16,btc,-19210605,10078935,470534
2018-10-16,eth,0,0,6
2018-10-17,btc,0,0,3
2018-10-17,eth,0,0,21
2018-10-18,btc,24950382,12813,6
2018-10-18,eth,0,0,18
2018-10-19,btc,0,0,6
2018-10-19,eth,0,0,9
2018-10-20,btc,0,0,6
2018-10-20,eth,0,0,7
2018-10-21,btc,0,0,6
2018-10-21,eth,0,0,16
2018-10-22,btc,0,0,6
2018-10-22,eth,0,0,24
2018-10-23,btc,0,0,6
2018-10-23,eth,0,0,7
2018-10-24,btc,0,0,6
2018-10-24,eth,0,0,6
2018-10-25,btc,0,0,6
2018-10-25,eth,0,0,12
2018-10-26,btc,0,0,6
2018-10-26,eth,0,0,29
2018-10-27,btc,0,0,7
2018-10-27,eth,0,0,7
2018-10-28,btc,0,0,6
2018-10-28,eth,0,0,19
2018-10-29,btc,0,0,16
2018-10-29,eth,0,0,11
2018-10-30,btc,16250251,2000053,15
2018-10-30,eth,0,0,21
2018-10-31,btc,0,0,12
2018-10-31,eth,0,0,23
2018-11-01,btc,0,0,6
2018-11-01,eth,0,0,9
2018-11-02,btc,0,0,6
2018-11-02,eth,0,0,7
2018-11-03,btc,0,0,6
2018-11-03,eth,0,0,10
2018-11-04,bch,82220000,20393700,0
2018-11-04,btc,0,0,6
2018-11-04,eth,0,0,36
2018-11-05,bch,182270000,10485840,0
2018-11-05,btc,0,0,14
2018-11-05,eth,22093650,-3118857,-4635723
2018-11-05,xrp,45028264,-2314196,0
2018-11-06,bch,107720000,-7664715,0
2018-11-06,btc,0,0,18
2018-11-06,eth,25496310,-2921226,33
2018-11-06,xrp,-103403274,42581618,0
2018-11-07,bch,6080000,8676740,0
2018-11-07,btc,0,0,8
2018-11-07,eth,5186380,271405,0
2018-11-08,bch,-31250000,6093510,0
2018-11-08,btc,0,0,28
2018-11-08,eth,79620402,5267718,-6117454
2018-11-08,xrp,44101890,1728049,0
2018-11-09,bch,-352041000,9627832,0
2018-11-09,btc,-324,23,-25
2018-11-09,eth,7345498,5372949,-33812437
2018-11-09,xrp,57265866,2367661,0
2018-11-10,bch,5040000,-330540,0
2018-11-10,btc,0,0,-14
2018-11-10,eth,-2039205,2763201,45313
2018-11-11,ada,7957448,-866953,0
2018-11-11,bch,23240000,434290,0
2018-11-11,btc,0,0,-6
2018-11-11,eth,1504000,100704,0
2018-11-12,bch,-176901097,14750760,0
2018-11-12,btc,0,0,-6
2018-11-12,xrp,0,-1800872,0
2018-11-13,bch,64801097,7040130,0
2018-11-13,btc,0,0,-30
2018-11-13,eos,-46893140,4511899,0
2018-11-13,eth,9257280,2034237,0
2018-11-13,xrp,65282964,1580450,0
2018-11-14,bch,227480000,11652435,0
2018-11-14,btc,229546320,-2702124,-14
2018-11-14,eos,113901430,6930073,0
2018-11-14,eth,271360848,9482916,-7262557
2018-11-15,bch,279830000,37446170,0
2018-11-15,btc,20997658,-4474987,97
2018-11-15,eth,253727064,19360710,-5060597
2018-11-16,btc,0,0,40
2018-11-16,eth,34448503,14755383,535188
2018-11-17,btc,-8695893,4554829,356760
2018-11-17,eth,-35869740,-613831,-686975
2018-11-18,btc,-27390594,2811035,-1
2018-11-18,eth,-75542448,9720486,27694
2018-11-18,xrp,23702470,26731732,0
2018-11-19,btc,119873358,52549132,-838354
2018-11-19,eth,-131974,44417868,256362
2018-11-19,xrp,14985246,5552933,0
2018-11-20,btc,899670070,64879163,-1387828
2018-11-20,eth,124439984,15436328,-17
2018-11-21,btc,89927181,36413129,-16
2018-11-21,eth,0,0,-24
2018-11-22,btc,590730519,34818232,7
2018-11-22,eth,0,0,-5
2018-11-23,btc,431623862,62816157,4392982
2018-11-23,eth,186319785,14769264,1328279
2018-11-24,btc,1135271070,104056083,1191006
2018-11-24,eth,18372495,6477779,-9
2018-11-25,btc,1017123926,285845046,-48028939
2018-11-25,eth,211361561,12047480,-517557
2018-11-26,btc,1536661695,159600322,-13034772
2018-11-26,eth,93196139,408801,41
2018-11-27,btc,401669917,147314785,-36447608
2018-11-27,eth,0,0,-15
2018-11-28,btc,473448117,33128176,-16862454
2018-11-28,eth,0,0,-17
2018-11-29,btc,605857293,107973582,-16313428
2018-11-29,eth,0,0,-8
2018-11-30,btc,588295063,44219580,-21054699
2018-11-30,eth,0,0,-2
2018-12-01,btc,-755486862,1469054,-22627916
2018-12-01,eth,0,0,-10
2018-12-02,btc,613788126,-7954841,-5362705
2018-12-02,eth,0,0,-5
2018-12-03,btc,736121838,34465451,-13738953
2018-12-03,eth,0,0,-10
2018-12-04,btc,513065161,1381107,-9184883
2018-12-04,eth,0,0,-1
2018-12-05,btc,64846877,1467396,6428087
2018-12-05,eth,0,0,-3
2018-12-06,btc,1013894951,32143166,-62204
2018-12-06,eth,0,0,-11
2018-12-07,bch,35000000,-1567500,0
2018-12-07,btc,1953061732,89939206,-31995387
2018-12-07,eth,-2000,24,11
2018-12-08,btc,-55572427,2229721,17837877
2018-12-08,eth,0,0,-24
2018-12-09,btc,218959696,12435363,9672325
2018-12-09,eth,112533637,1236500,-4
2018-12-10,btc,-312096685,66714281,1348
2018-12-10,eth,363,13,2
2018-12-11,btc,-145291448,10569860,-414460
2018-12-11,eth,0,0,-14
2018-12-12,btc,-346990349,29777100,-12673633
2018-12-12,eth,0,0,0
2018-12-13,btc,690478397,67798346,1707899
2018-12-13,eth,0,0,-5
2018-12-14,btc,564287217,28841924,-31763969
2018-12-14,eth,0,0,-3
2018-12-15,btc,434054245,3466462,-1697094
2018-12-15,eth,0,0,-7
2018-12-16,btc,513298833,-36941884,-883220
2018-12-16,eth,0,0,-3
2018-12-17,btc,-2824181290,212943152,13489919
2018-12-17,eth,-249955115,-567968,-2
2018-12-17,xrp,-84088695,14919445,0
2018-12-18,btc,1172330256,-81766181,-2959079
2018-12-19,bch,73340000,1437970,0
2018-12-19,btc,417222769,33717647,-78240025
2018-12-19,eos,44246410,-3638586,0
2018-12-20,btc,794540788,83658477,-31321242
2018-12-21,bch,-180080000,29032530,0
2018-12-21,btc,1013329560,181188298,-23574338
2018-12-22,btc,-69478665,88604655,2311631
2018-12-23,btc,275643959,-23154982,-6732847
2018-12-24,bch,42210000,4566055,0
2018-12-24,btc,545955466,-11287513,6350329
2018-12-25,btc,1242278447,93336766,4068992
2018-12-26,btc,496413481,84548850,-1701544
2018-12-27,btc,494134491,12611135,2414
2018-12-28,btc,71710592,8825739,-8861382
2018-12-29,btc,574340801,-1870662,-4535758
2018-12-30,btc,-371120538,30551079,-14931445
2018-12-31,btc,348769963,7525038,2087870
2019-01-01,btc,35563926,1937123,1218529
2019-01-02,btc,72627573,14416600,1585
2019-01-03,btc,0,0,-10664
2019-01-04,btc,-52745531,18006813,241
2019-01-05,btc,47419763,-5866634,-916271
2019-01-05,eth,43813370,-3029497,0
2019-01-06,btc,0,0,-9878
2019-01-07,btc,119737022,-3734348,-1124254
2019-01-08,btc,-682161565,-4848770,-685
2019-01-09,btc,-67711,-1373829,2196
2019-01-10,btc,117830831,13861226,5361991
2019-01-10,trx,-55199211,300882,0
2019-01-11,btc,2469015928,-19912194,-54522155
2019-01-12,btc,17344441,-659445,-3087056
2019-01-13,btc,550676203,7090257,-1930749
2019-01-14,btc,534312056,-22627242,-10965809
2019-01-15,btc,532329318,8649942,-9837052
2019-01-16,btc,453940224,15544030,-7111073
2019-01-17,btc,0,-2699920,-5719622
2019-01-18,btc,0,0,-6735282
2019-01-19,btc,0,-3382838,-3508803
2019-01-20,btc,699410888,-10159123,6918142
2019-01-21,btc,309386101,-1276484,-50795896
2019-01-22,btc,0,0,-14704
2019-01-23,btc,15828764,-7015801,587036
2019-01-24,btc,0,0,-13534
2019-01-25,btc,0,0,-5653
2019-01-26,btc,0,-7043192,2792540
2019-01-27,btc,236749587,-9869984,-15303128
2019-01-28,btc,418613834,-12177742,549876
2019-01-29,btc,622933340,-40343538,4407750
2019-01-30,btc,-25263632,-8381226,1045583
2019-01-31,btc,82252096,-3661369,-6751393
2019-02-01,btc,268328065,22943110,-5837785
2019-02-02,btc,200525355,-10878213,-5818463
2019-02-03,btc,-255976161,-14550376,-56974
2019-02-04,btc,0,0,94
2019-02-05,btc,0,0,972
2019-02-06,btc,0,0,416
2019-02-07,btc,0,-3722481,-1011
2019-02-08,btc,158502372,19156523,-1825904
2019-02-09,btc,84727178,-10363483,-8304211
2019-02-10,btc,42704278,63636315,2775781
2019-02-11,btc,66229538,6959828,359
2019-02-12,btc,156004031,-13979359,-2799968
2019-02-13,btc,18002991,-13190185,82
2019-02-14,btc,0,10511587,1637212
2019-02-15,btc,0,-3494473,7002011
2019-02-16,btc,0,-3479258,9745187
2019-02-17,btc,-182139288,30937703,8121342
2019-02-18,btc,-376241252,-19813939,-25534888
2019-02-19,btc,-79066119,-55481287,2534645
2019-02-20,btc,187330413,3276453,1285071
2019-02-21,btc,145471374,-14982934,2702307
2019-02-22,btc,90580527,-5799015,1728242
2019-02-23,btc,163672,-3030151,151
2019-02-24,btc,358381948,41990160,4488142
2019-02-24,eth,839491930,-8930414,16220101
2019-02-25,btc,-120961116,41988658,-10563043
2019-02-25,eth,-36647172,22543403,5938022
2019-02-26,btc,79933917,-3961349,-20280804
2019-02-26,eth,310172847,9237314,1777640
2019-02-27,btc,0,0,-5023171
2019-02-28,btc,159497900,2410085,2199
2019-02-28,eth,92360125,1590689,0
2019-02-28,xrp,0,-1114985,0
2019-03-01,btc,153796719,-11796955,1009
2019-03-02,btc,0,0,-19682
2019-03-03,btc,0,0,-11676
2019-03-03,eth,0,4922663,-2664648
2019-03-04,btc,80840379,5184257,-422432
2019-03-04,eth,0,-224933,-3135300
2019-03-05,btc,503235464,-19948833,-4185921
2019-03-05,eth,148880780,-6561110,-2643503
2019-03-05,ltc,-79789000,2084989,0
2019-03-06,btc,347066718,-2969718,3116722
2019-03-07,btc,0,-13648838,1202544
2019-03-07,eth,0,3371197,8918056
2019-03-07,ltc,72328000,-1968326,0
2019-03-07,xrp,12475353,-2046235,0
2019-03-08,btc,-68270196,32535369,-9879586
2019-03-08,eth,72974575,10229532,0
2019-03-09,btc,0,0,-19005145
2019-03-10,btc,-27570687,-8822042,-17113291
2019-03-11,btc,0,-4544206,-5949615
2019-03-12,btc,810100652,-18282977,1839820
2019-03-13,btc,7752,3891,-1113
2019-03-14,btc,-147670115,39214444,6660
2019-03-15,btc,0,0,-36905
2019-03-16,btc,77166967,-4312078,1728894
2019-03-17,btc,122875970,-5432334,3532252
2019-03-18,btc,-65671729,-8749564,-5255180
2019-03-19,btc,53328272,-4406306,-1866332
2019-03-20,btc,0,0,-2041
2019-03-21,btc,32150248,24129541,-11566216
2019-03-22,btc,2767443,8850863,-11268836
2019-03-23,btc,106064434,-8794176,-21342443
2019-03-24,btc,0,0,-10355380
2019-03-25,btc,0,0,-18689679
2019-03-26,btc,371815178,19469810,-19705113
2019-03-27,btc,79707029,-21767323,-14307022
2019-03-28,btc,57420420,4334518,-5625463
2019-03-29,btc,291908390,-17365570,734
2019-03-30,btc,230386772,-21399203,-17700334
2019-03-31,btc,0,-4278744,-34097118
2019-04-01,btc,-116434482,-8475049,-43459089
2019-04-02,btc,-5452795008,94978397,-21543681
2019-04-03,bch,-135000000,-6232500,0
2019-04-03,btc,1250622199,-68022515,-2418507
2019-04-04,btc,378825774,-56934240,-4571359
2019-04-05,btc,382468133,-68214878,-6899650
2019-04-06,btc,-20013293,-3447266,-12465882
2019-04-07,btc,1198969866,25609795,-1345162
2019-04-08,btc,170519473,20691465,6556921
2019-04-08,eth,14326610,-432376,0
