time,PriceUSD
2020-01-09,0.0139819907784576
2020-01-10,0.0146477901678776
2020-01-11,0.0146049705144973
2020-01-12,0.0149804777712813
2020-01-13,0.0146710000180955
2020-01-14,0.0167624623116007
2020-01-15,0.0172859822764562
2020-01-16,0.0171755805808897
2020-01-17,0.0176934832853142
2020-01-18,0.0176977788651377
2020-01-19,0.0166045433785711
2020-01-20,0.0166101980412476
2020-01-21,0.0172615055235247
2020-01-22,0.0172750002902175
2020-01-23,0.0161888972444515
2020-01-24,0.0163482270707835
2020-01-25,0.0161294577794599
2020-01-26,0.0167569519262759
2020-01-27,0.0170801214111244
2020-01-28,0.0185700175007663
2020-01-29,0.0187048979672038
2020-01-30,0.0195337799595246
2020-01-31,0.0187215578064196
2020-02-01,0.0190436803995239
2020-02-02,0.0191185627649631
2020-02-03,0.019170902586618
2020-02-04,0.0191758545692822
2020-02-05,0.0207499873879384
2020-02-06,0.0225638428255426
2020-02-07,0.0220907525341045
2020-02-08,0.0218846946413782
2020-02-09,0.0220285233778783
2020-02-10,0.0222949039109877
2020-02-11,0.0228822163762257
2020-02-12,0.0240030319184899
2020-02-13,0.0239008341775811
2020-02-14,0.0263614706511383
2020-02-15,0.0236382882526486
2020-02-16,0.0223657060783512
2020-02-17,0.0216739980594547
2020-02-18,0.0226973038809758
2020-02-19,0.0203134004798226
2020-02-20,0.0198733001900234
2020-02-21,0.0202366943456867
2020-02-22,0.0200455608616999
2020-02-23,0.0213462218062767
2020-02-24,0.0197832977593083
2020-02-25,0.0190514550287777
2020-02-26,0.0164748255291746
2020-02-27,0.0169513382928115
2020-02-28,0.0171899477845328
2020-02-29,0.0166079423762892
2020-03-01,0.0164951962712369
2020-03-02,0.0175338498106938
2020-03-03,0.0172562361740785
2020-03-04,0.017711754001
2020-03-05,0.0178386593232442
2020-03-06,0.0183335463317154
2020-03-07,0.0170428819209577
2020-03-08,0.015013884192806
2020-03-09,0.0149588237798245
2020-03-10,0.0151034199405886
2020-03-11,0.0148832827612247
2020-03-12,0.0087967832817463
