time,PriceUSD
2021-10-23,43.8697081705442
2021-10-24,42.345990346526
2021-10-25,44.501858249363
2021-10-26,44.8745527906534
2021-10-27,40.6708939916524
2021-10-28,42.0688281538491
2021-10-29,44.0470289272378
2021-10-30,42.6111247054323
2021-10-31,42.9103585651628
2021-11-01,50.1588476879194
2021-11-02,51.3809278354799
2021-11-03,53.3476072298212
2021-11-04,54.0117477467674
2021-11-05,51.7775540823139
2021-11-06,51.9663514137848
2021-11-07,52.1881387698341
2021-11-08,53.4067955004482
2021-11-09,50.9618616329802
2021-11-10,46.7400911689544
2021-11-11,47.8805884217532
2021-11-12,45.9437301501355
2021-11-13,47.0865550668527
2021-11-14,46.1238242469196
2021-11-15,44.9017696262775
2021-11-16,41.0952114716425
2021-11-17,42.3374463605367
2021-11-18,38.9317451589196
2021-11-19,41.1647070117409
2021-11-20,41.9573325583986
2021-11-21,42.5568904112471
2021-11-22,39.5470100675228
2021-11-23,40.7521087508078
2021-11-24,38.3357556709148
2021-11-25,39.5153081310261
2021-11-26,34.6490902131967
2021-11-27,35.0391032871356
2021-11-28,35.659341185409
2021-11-29,37.326147108149
2021-11-30,38.1068307951775
2021-12-01,36.7575152330043
2021-12-02,35.8371161941293
2021-12-03,33.8205995218537
2021-12-04,29.3400817612858
2021-12-05,28.2923570742898
2021-12-06,28.3252108499732
2021-12-07,30.2463678556897
2021-12-08,29.742535865002
2021-12-09,27.1680126301298
2021-12-10,26.7651880578156
2021-12-11,27.819229559655
2021-12-12,29.6370335471627
2021-12-13,26.1036979467356
2021-12-14,26.1397089520571
2021-12-15,27.0215930243282
2021-12-16,26.1226416443747
2021-12-17,24.7223366977956
2021-12-18,25.5342696327065
2021-12-19,24.8729061971224
2021-12-20,24.1712780435636
2021-12-21,25.2926340677769
2021-12-22,27.2574735405616
2021-12-23,29.1248306003667
2021-12-24,28.1177615487616
2021-12-25,28.9260434997126
2021-12-26,31.3545108457824
2021-12-27,31.0650496323993
2021-12-28,28.081276724357
2021-12-29,26.7934867572841
2021-12-30,27.5000350150829
2021-12-31,26.7858600062284
