time,CapMrktCurUSD,PriceUSD,SplyCur
2018-01-03,251879335164.34857,15010.2861595558,16780448.58618488
2018-01-04,252918055361.86145,15070.3007986558,16782548.58618486
2018-01-05,285287177348.3089,16997.2274079486,16784336.08618409
2018-01-06,287108308287.3724,17103.589279661,16786436.08618407
2018-01-07,272505179860.49533,16231.6949994155,16788461.08618405
2018-01-08,250807207092.34375,14937.4150894214,16790536.08612404
2018-01-09,241453646852.43872,14378.5862174167,16792586.08610402
2018-01-10,246362365863.32315,14669.0882656341,16794661.086094
2018-01-11,221498893134.71692,13186.7549427236,16797073.58609399
2018-01-12,231652981446.49847,13789.4436639392,16799298.58608398
2018-01-13,239101104762.3596,14231.2250645821,16801161.08608397
2018-01-14,229884291706.09927,13681.0654611338,16803098.58608395
2018-01-15,228408095575.09323,13591.6961966686,16804973.58608393
2018-01-16,192121046221.5878,11431.0401052016,16806961.08608391
2018-01-17,187582403000.91153,11159.6085905903,16809048.58608389
2018-01-18,189059547788.1338,11246.0397302747,16811211.08608388
2018-01-19,192348146652.9038,11440.2555616598,16813273.58608387
2018-01-20,214707089256.08,12768.4045856224,16815498.58608385
2018-01-21,192099954357.02213,11422.3942589129,16817836.08608383
2018-01-22,180601416229.53214,10737.3505774401,16819923.58608351
2018-01-23,182509946645.00696,10849.3918793103,16822136.08608349
2018-01-24,188868250111.49985,11225.8961747516,16824336.08608348
2018-01-25,187284665737.6832,11130.4649473992,16826311.08608316
2018-01-26,185709056259.20752,11035.5546098773,16828248.58598315
2018-01-27,190534317916.2448,11320.9701852718,16830211.08598303
2018-01-28,195521978595.36047,11615.95871128,16832186.08598302
2018-01-29,187405821048.53973,11132.5543138515,16834036.08598281
2018-01-30,167680159360.35452,9959.54671537113,16836123.58598251
2018-01-31,169219353157.635,10050.0957971946,16837586.0859825
2018-02-01,152227586137.8496,9039.86507510228,16839586.08598229
2018-02-02,147972357159.3378,8786.0773798948,16841686.08598227
2018-02-03,153818002832.4506,9132.10032232613,16843661.08598225
2018-02-04,138987436238.7948,8250.52689596727,16845886.08598194
2018-02-05,115402453262.58664,6849.54255932203,16848198.58598108
2018-02-06,130398654837.18138,7738.64395967271,16850323.58598086
2018-02-07,128490337875.27019,7624.59538953828,16852086.08598064
2018-02-08,138513689945.96112,8218.58085184103,16853723.58598053
2018-02-09,145975503391.69897,8660.45346785505,16855411.08598012
2018-02-10,143796839806.93958,8530.29280479252,16857198.5859795
2018-02-11,136503442480.99644,8096.72848129749,16859086.0859795
2018-02-12,150193661791.17108,8907.67017913501,16861161.08597948
2018-02-13,143741453662.46915,8523.96693191116,16863211.08594926
2018-02-14,159670278815.20184,9467.3010327294,16865448.58594924
2018-02-15,170471136968.4026,10106.7330835769,16867086.08594922
2018-02-16,171884074815.1278,10189.3164833431,16869048.5859492
2018-02-17,187024145183.5038,11085.5984143776,16870911.08594919
2018-02-18,176357479895.8642,10452.0919772063,16872936.08594919
2018-02-19,187976194475.8602,11139.3557305669,16874961.08594907
2018-02-20,189794491196.21036,11245.9323179427,16876723.58594906
2018-02-21,176533469479.5317,10458.8650888369,16878836.08594893
2018-02-22,166750223696.01343,9878.15894272355,16880698.58592881
2018-02-23,171510918790.7929,10159.0656125073,16882548.58592879
