date,open,high,low,close,volume
2026-08-15,63043.56000000,63187.98000000,62920.00000000,63086.01000000,5405.16038000
2026-08-16,63086.01000000,63390.00000000,62716.00000000,62900.00000000,4737.23135000
2026-08-17,62900.00000000,64610.01000000,62751.10000000,64532.10000000,14255.64713000
2026-08-18,64532.11000000,65058.81000000,64027.85000000,64725.42000000,11789.91312000
2026-08-19,64725.42000000,70000.00000000,64166.00000000,69334.79000000,29054.29976000
2026-08-20,69334.78000000,73400.00000000,68902.22000000,73025.15000000,35904.79287000
2026-08-21,73027.02000000,79500.00000000,73027.02000000,78338.03000000,44339.56568000
2026-08-22,78338.03000000,78828.15000000,76500.00000000,77074.93000000,18524.50847000
2026-08-23,77074.94000000,78052.85000000,75545.67000000,77734.00000000,15367.23185000
2026-08-24,77734.00000000,80000.00000000,76670.01000000,78992.75000000,30179.29391000
2026-08-25,78992.76000000,81272.62000000,77851.00000000,78539.14000000,24772.51394000
2026-08-26,78539.13000000,79251.60000000,77632.58000000,79023.75000000,14613.75887000
2026-08-27,79023.75000000,80848.74000000,78546.13000000,80249.58000000,16265.53695000
2026-08-28,80249.59000000,81478.87000000,76888.00000000,77845.87000000,19756.43646000
2026-08-29,77845.88000000,78330.00000000,77382.37000000,78230.00000000,7016.30257000
2026-08-30,78230.00000000,79400.00000000,77000.00000000,77682.00000000,9085.42405000
2026-08-31,77682.00000000,79250.00000000,77392.00000000,78581.29000000,15303.90602000
2026-09-01,78581.30000000,79220.61000000,76420.00000000,77439.00000000,14130.63949000
2026-09-02,77439.01000000,77792.00000000,76264.00000000,77340.01000000,13070.97820000
2026-09-03,77340.01000000,82300.00000000,76968.00000000,81270.37000000,19806.42247000
2026-09-04,81270.37000000,81427.75000000,78660.00000000,79660.77000000,19198.62549000
2026-09-05,79660.77000000,80200.00000000,79442.00000000,79831.75000000,9117.24020000
2026-09-06,79831.75000000,80559.99000000,79233.00000000,80341.83000000,8854.81827000
2026-09-07,80341.83000000,80443.99000000,78680.00000000,79112.01000000,10572.45495000
2026-09-08,79112.00000000,79485.00000000,77620.01000000,78455.80000000,19235.06605000
2026-09-09,78455.80000000,79760.00000000,77770.00000000,78306.43000000,14129.92027000
2026-09-10,78306.43000000,78564.39000000,76464.00000000,76568.72000000,15320.36904000
2026-09-11,76568.73000000,79890.00000000,76046.58000000,77225.70000000,19713.27729000
2026-09-12,77225.71000000,77505.67000000,77059.75000000,77278.73000000,8060.44455000
2026-09-13,77278.73000000,77450.00000000,76500.00000000,76842.01000000,6959.68366000
2026-09-14,76842.01000000,79600.00000000,76388.72000000,78189.21000000,15413.48971000
2026-09-15,78189.20000000,78250.46000000,74967.97000000,75644.48000000,21682.71734000
2026-09-16,75644.48000000,76560.76000000,75064.82000000,76206.01000000,14887.98431000
2026-09-17,76206.00000000,77179.47000000,76000.00000000,76417.01000000,10925.02219000
2026-09-18,76417.01000000,81400.00000000,76296.00000000,80883.87000000,23907.77962000
2026-09-19,80883.86000000,81951.00000000,80844.58000000,81249.99000000,10663.76706000
2026-09-20,81249.99000000,81497.33000000,80126.04000000,81178.00000000,10993.68293000
2026-09-21,81178.01000000,87395.67000000,80850.22000000,86620.00000000,31963.17872000
2026-09-22,86620.01000000,86717.60000000,85114.00000000,86208.56000000,21328.45813000
