date,open,high,low,close,volume
2026-07-28,0.99907,0.99909,0.99868,0.99876,16776418.21885
2026-07-29,0.99876,0.99892,0.99848,0.99873,11373005.85369
2026-07-30,0.99872,0.99908,0.99851,0.99908,10908352.25706
2026-07-31,0.99908,0.99909,0.99859,0.99892,13290865.74654
2026-08-01,0.99893,0.99907,0.99888,0.99905,3055248.98013
2026-08-02,0.99904,0.99905,0.99885,0.99885,2762371.67458
2026-08-03,0.99886,0.99911,0.99859,0.99904,11049831.96253
2026-08-04,0.99903,0.99920,0.99882,0.99910,13279776.85868
2026-08-05,0.99910,0.99923,0.99878,0.99899,16445459.67798
2026-08-06,0.99900,0.99914,0.99878,0.99910,12709769.35743
2026-08-07,0.99910,1.00000,0.99896,0.99940,20955791.29476
2026-08-08,0.99940,0.99947,0.99910,0.99910,1212690.33171
2026-08-09,0.99921,0.99923,0.99911,0.99915,855980.08823
2026-08-10,0.99916,0.99921,0.99885,0.99906,8827302.30218
2026-08-11,0.99905,0.99928,0.99878,0.99908,13333892.58828
2026-08-12,0.99908,0.99916,0.99869,0.99891,9048036.10513
2026-08-13,0.99891,0.99907,0.99869,0.99900,11087702.13481
2026-08-14,0.99904,0.99906,0.99874,0.99901,4365997.65089
2026-08-15,0.99901,0.99903,0.99884,0.99889,1360528.16087
2026-08-16,0.99890,0.99901,0.99880,0.99889,52386.15105
2026-08-17,0.99889,0.99916,0.99880,0.99908,9003983.55799
2026-08-18,0.99911,0.99931,0.99885,0.99927,10908846.64585
2026-08-19,0.99927,0.99975,0.99906,0.99943,15620683.37011
2026-08-20,0.99942,0.99983,0.99901,0.99974,23583518.97195
2026-08-21,0.99976,1.00010,0.99935,0.99982,46272048.39964
2026-08-22,0.99984,1.00000,0.99971,0.99979,6032374.39019
2026-08-23,0.99979,0.99999,0.99977,0.99994,1855821.99466
2026-08-24,0.99995,1.00027,0.99960,0.99989,54576547.35340
2026-08-25,0.99989,1.00007,0.99962,0.99992,31102498.90970
2026-08-26,0.99993,1.00005,0.99976,0.99998,21790607.20374
2026-08-27,0.99999,1.00019,0.99979,1.00016,30579087.14563
2026-08-28,1.00018,1.00023,0.99974,0.99991,34294457.77319
2026-08-29,0.99991,1.00007,0.99990,0.99996,16270195.82136
2026-08-30,1.00000,1.00004,0.99983,0.99989,48246234.09903
2026-08-31,0.99986,0.99995,0.99950,0.99973,74436101.57273
2026-09-01,0.99968,0.99979,0.99943,0.99944,43993599.36255
2026-09-02,0.99943,0.99964,0.99916,0.99959,30953219.36616
2026-09-03,0.99959,1.00014,0.99942,0.99999,56384547.36926
2026-09-04,0.99997,1.00027,0.99969,1.00023,23430519.34385
2026-09-05,1.00020,1.00020,0.99993,1.00006,7062481.19111
2026-09-06,1.00005,1.00011,0.99986,0.99994,2523999.70869
2026-09-07,0.99991,0.99994,0.99973,0.99978,3587949.23837
2026-09-08,0.99978,0.99992,0.99957,0.99990,36176939.98748
2026-09-09,0.99990,0.99997,0.99966,0.99974,27995642.79876
2026-09-10,0.99974,0.99983,0.99939,0.99961,55194148.91938
2026-09-11,0.99962,0.99982,0.99946,0.99975,35195110.10088
2026-09-12,0.99976,0.99989,0.99973,0.99980,9639307.10304
2026-09-13,0.99981,0.99988,0.99946,0.99954,4738580.72179
2026-09-14,0.99952,0.99993,0.99941,0.99985,27601643.32427
2026-09-15,0.99984,0.99985,0.99911,0.99930,32804352.13534
2026-09-16,0.99928,0.99940,0.99894,0.99918,33737965.01477
2026-09-17,0.99918,0.99925,0.99899,0.99912,51753595.68003
2026-09-18,0.99912,0.99981,0.99902,0.99972,64395075.23716
2026-09-19,0.99972,0.99981,0.99954,0.99963,10262521.70367
2026-09-20,0.99964,0.99984,0.99955,0.99972,3568657.95821
2026-09-21,0.99972,1.00010,0.99961,0.99981,56941927.16860
2026-09-22,0.99980,1.00011,0.99960,0.99990,81273408.45027
