time,CapMrktCurUSD,PriceUSD,SplyCur
2018-02-16,2278619899.6380086,0.999346491887849,2280109970.0
2018-02-17,2295208742.180912,1.00662194910753,2280109970.0
2018-02-18,2288170117.715993,1.00353498200615,2280109970.0
2018-02-19,2280200045.046036,1.00003950469373,2280109970.0
2018-02-20,2281137815.8677425,1.00045078784851,2280109970.0
2018-02-21,2288766220.927299,1.00379641817333,2280109970.0
2018-02-22,2286149958.6605105,1.00264899006626,2280109970.0
2018-02-23,2282759152.973427,1.0011618663171,2280109970.0
2018-02-24,2282214169.749874,1.00092285011581,2280109970.0
2018-02-25,2283811387.5588226,1.00162335045569,2280109970.0
2018-02-26,2277632678.3160305,0.998913520963215,2280109970.0
2018-02-27,2279720529.757527,0.999829201114158,2280109970.0
2018-02-28,2276427213.4986286,0.998384833823883,2280109970.0
2018-03-01,2276175476.672437,0.998274428260334,2280109970.0
2018-03-02,2277391945.0929546,0.998807941308618,2280109970.0
2018-03-03,2274297974.4704485,0.997451002098135,2280109970.0
2018-03-04,2269445314.2039666,0.995322744983202,2280109970.0
2018-03-05,2276223553.7374024,0.998295513675335,2280109970.0
2018-03-06,2280413972.5576687,1.00013332802438,2280109970.0
2018-03-07,2283777220.984273,1.00160836583872,2280109970.0
2018-03-08,2285747998.924722,1.00247270043941,2280109970.0
2018-03-09,2287790608.1848207,1.00336853848537,2280109970.0
2018-03-10,2287505073.6772547,1.0032433100923,2280109970.0
2018-03-11,2277627550.3214517,0.998911271951261,2280109970.0
2018-03-12,2278340330.0644674,0.999223879567733,2280109970.0
2018-03-13,2280737045.7489367,1.00027501995833,2280109970.0
2018-03-14,2287416873.0110335,1.00320462745533,2280109970.0
2018-03-15,2281479543.078257,1.00060066097525,2280109970.0
2018-03-16,2278655237.3956914,0.999361990156857,2280109970.0
2018-03-17,2284970149.101067,1.00213155469035,2280109970.0
2018-03-18,2279872178.813624,0.999895710650142,2280109970.0
2018-03-19,2274599953.630417,0.997583442710185,2280109970.0
2018-03-20,2583273037.1936364,1.00122594278167,2580109970.0
2018-03-21,2582763505.842033,1.00102845842731,2580109970.0
2018-03-22,2579925746.893576,0.999928598738594,2580109970.0
2018-03-23,2582036038.8963714,1.00074650651281,2580109970.0
2018-03-24,2579435761.047609,0.999738689838716,2580109970.0
2018-03-25,2579800470.0429006,0.999880043889331,2580109970.0
2018-03-26,2585495718.1899557,1.00208741032459,2580109970.0
2018-03-27,2582310945.353397,1.00085305486161,2580109970.0
2018-03-28,2577105204.9859877,0.998835412037103,2580109970.0
2018-03-29,2574851811.6509576,0.997962040994306,2580109970.0
2018-03-30,2582154024.5292854,1.00079223542913,2580109970.0
2018-03-31,2583439475.1275396,1.00129045085917,2580109970.0
2018-04-01,2581302004.668545,1.0004620092486,2580109970.0
2018-04-02,2578384792.4951086,0.999331355048835,2580109970.0
2018-04-03,2582579898.5437584,1.00095729584106,2580109970.0
2018-04-04,2580608503.10672,1.00019322165044,2580109970.0
2018-04-05,2581558647.4164834,1.00056147894211,2580109970.0
2018-04-06,2585732451.758925,1.00217916361097,2580109970.0
2018-04-07,2582964319.8227186,1.00110628998605,2580109970.0
2018-04-08,2576587133.475652,0.998634617684785,2580109970.0
2018-04-09,2576812742.382237,0.998722059270302,2580109970.0
2018-04-10,2580253012.2253695,1.00005544035992,2580109970.0
2018-04-11,2582304449.079007,1.00085053703312,2580109970.0
2018-04-12,2577564096.6367383,0.999013269437015,2580109970.0
2018-04-13,2580415489.4339547,1.000118413338,2580109970.0
2018-04-14,2579169497.157915,0.999635491179438,2580109970.0
2018-04-15,2578730397.5269666,0.999465304778062,2580109970.0
2018-04-16,2576654330.2832,0.998660661848921,2580109970.0
2018-04-17,2578249080.3590393,0.999278755687704,2580109970.0
2018-04-18,2578467353.9841566,0.99936335426205,2580109970.0
2018-04-19,2576773453.577301,0.998706831700395,2580109970.0
2018-04-20,2582591441.8475027,1.0009617697991,2580109970.0
2018-04-21,2582019023.745508,1.00073991177419,2580109970.0
2018-04-22,2582384754.645923,1.00088166189518,2580109970.0
2018-04-23,2579919540.873389,0.999926193406938,2580109970.0
2018-04-24,2582687457.971506,1.00099898376483,2580109970.0
2018-04-25,2580036810.3595214,0.999971644758817,2580109970.0
2018-04-26,2579094134.8442826,0.999606282225359,2580109970.0
2018-04-27,2577314462.848777,0.998916516278869,2580109970.0
2018-04-28,2576878201.575108,0.998747429969083,2580109970.0
2018-04-29,2574664538.8146887,0.997889457717451,2580109970.0
2018-04-30,2579090401.59109,0.999604835289672,2580109970.0
2018-05-01,2576740645.632133,0.998694115984573,2580109970.0
2018-05-02,2572467501.03718,0.997037928982996,2580109970.0
2018-05-03,2566055653.9933095,0.994552822875728,2580109970.0
2018-05-04,2571080121.5684566,0.99650020792271,2580109970.0
2018-05-05,2559746397.351322,0.992107478795302,2580109970.0
2018-05-06,2553712054.3798575,0.989768685859486,2580109970.0
2018-05-07,2575264075.878447,0.998121826519839,2580109970.0
