date,price_usd,return_1d,return_7d,return_30d,return_90d,rv30_ann,drawdown,btc_usdt_binance,usdt_usd_bitstamp,btc_usdt_converted_usd,converted_venue_basis_bps
2026-06-24,60987.0,-0.026566512528125807,-0.05363275327276218,,,,-0.1956443694842085,61077.99,0.99843,60982.0975557,-0.8038507058882871
2026-06-25,59696.26,-0.02116418253070318,-0.05078174689998005,-0.2126678988680436,,0.43251679939498616,-0.2126678988680436,59794.0,0.99848,59703.11312,1.1479982163042912
2026-06-26,60019.38,0.005412734399106389,-0.05462443378475146,-0.19253339948833914,,0.43275310781842624,-0.20840627932072597,60097.27,0.99856,60010.729931199996,-1.4412126216567511
2026-06-27,59940.07,-0.0013214065190276791,-0.0670184722032845,-0.1847013758046202,,0.43298294904192836,-0.20945229642365293,60029.0,0.9985,59938.9565,-0.18576888548782478
2026-06-28,59473.29,-0.007787445026340434,-0.059520206309010004,-0.1894422343607598,,0.43264344855603953,-0.2156086432059534,59577.01,0.99846,59485.2614046,2.0129043811101255
2026-06-29,60163.86,0.011611430946564472,-0.059189391039353834,-0.18435322180820368,,0.4354224681075354,-0.20650073713145733,60260.21,0.99852,60171.024889199995,1.1908958633966016
2026-06-30,58526.17,-0.027220494163772146,-0.06584462637165667,-0.20446147842288487,,0.44109176525342597,-0.228100179185328,58624.71,0.99847,58535.0141937,1.5111519684274377
2026-07-01,59963.46,0.024558073764266553,-0.016782920950366487,-0.15916120653124088,,0.44623323062246906,-0.20914380644713715,60024.0,0.99894,59960.374560000004,-0.5145533629968835
2026-07-02,61479.1,0.02527605978707692,0.029865187534361404,-0.07784024263296374,,0.3996459958423674,-0.18915407801591488,61560.0,0.99878,61484.8968,0.9428895348184696
2026-07-03,62522.46,0.01697097062253672,0.04170452943699199,-0.023782727442492546,,0.38146577251536173,-0.17539323569451926,62583.26,0.99903,62522.5542378,0.015072631500689937
2026-07-04,63086.18,0.009016279909651592,0.052487593024165724,-0.011417727549095202,,0.3828234661024521,-0.1679583502921489,63144.01,0.99908,63085.9175108,-0.041608035230567
2026-07-05,63587.06,0.00793961530084708,0.06917004255187487,0.04169119889964534,,0.34908631899977255,-0.16135225967918632,63650.0,0.99904,63588.896,0.28873799166051484
2026-07-06,64000.1,0.006495661224154681,0.06376319604493452,0.05161896486677975,,0.3491589491919293,-0.15590468807165936,64042.02,0.99934,63999.752266799995,-0.05433322760484138
2026-07-07,63311.3,-0.010762483183619942,0.08176051841424115,-6.980888790331097e-05,,0.3236222641261799,-0.16498924967166062,63363.99,0.99934,63322.1697666,1.716876229045372
2026-07-08,62237.84,-0.016955267069227897,0.037929432357639126,-0.013065600114681275,,0.3288406096430223,-0.1791470799491539,62290.0,0.99922,62241.4138,0.5742165859246029
2026-07-09,63185.92,0.01523317647270539,0.02776260550333376,0.02432470287964228,,0.3235958397855696,-0.1666428825598839,63230.0,0.9992,63179.416,-1.0293432460906082
2026-07-10,64114.25,0.014692038985900657,0.025459490877358437,0.04324620556754866,,0.32666189244708455,-0.1543991673012759,64161.72,0.99926,64114.2403272,-0.0015086817672926855
2026-07-11,63780.01,-0.005213193634800328,0.010998129859820294,0.003489714389376397,,0.305886920360327,-0.1588074481798828,63819.0,0.99927,63772.41213,-1.191261964368362
2026-07-12,63743.46,-0.000573063566468579,0.002459619928960377,0.0033435624538806774,,0.3058906007158961,-0.15928950498371564,63780.0,0.99935,63738.543,-0.7713732514680327
2026-07-13,62256.81,-0.023322392603099984,-0.027238863689275528,-0.03387942271880828,,0.3123212300562814,-0.1788968852140319,62334.52,0.99872,62254.7318144,-0.333808558452553
2026-07-14,64975.72,0.04367249141097984,0.026289461754852583,-0.011212174243865336,,0.3408435803853697,-0.143037266486013,65043.98,0.99933,65000.4005334,3.798423995917677
2026-07-15,64713.83,-0.004030582500663349,0.039782710968118584,-0.02365979929709483,,0.33949238357122113,-0.14649132548343502,64756.28,0.99932,64712.2457296,-0.24481171953527614
2026-07-16,63788.02,-0.014306215533835709,0.009529021655457326,-0.02781223071208916,,0.34129043306294987,-0.15870180454106753,63830.2,0.9992,63779.135839999995,-1.392763092505911
2026-07-17,63891.98,0.00162977311413659,-0.003466780006004866,-0.008554655901228947,,0.33577310343087813,-0.15733067936113687,63931.67,0.9993,63886.917831,-0.792301162055864
2026-07-18,64792.35,0.0140920660151711,0.015872371296272947,0.03025015773592976,,0.32767918978152255,-0.14545572766573456,64834.22,0.99937,64793.3744414,0.15811147457966968
2026-07-19,64681.58,-0.0017096154098438232,0.014717117646265265,0.018810679420495635,,0.3263622622635782,-0.14691666972211104,64722.54,0.99922,64672.0564188,-1.472379184306316
2026-07-20,65212.6,0.008209756162419035,0.04747737637055294,0.015049718487083696,,0.32500936725518575,-0.13991306359430522,65255.51,0.99927,65207.8734777,-0.7247866669934933
2026-07-21,66518.68,0.020028031392706147,0.023746716465781192,0.051891940785468105,,0.32626553522820534,-0.1226872154315155,66556.16,0.99936,66513.5640576,-0.7690986050823412
2026-07-22,66082.49,-0.006557406130127452,0.021149420456183732,0.03336301325306934,,0.3256364096634201,-0.1284401116630841,66114.49,0.99948,66080.1104652,-0.3600855234120459
2026-07-23,65050.48,-0.015616996272386219,0.019791490627864006,0.038292023023257515,,0.3220684910779055,-0.14205125919040307,65098.97,0.99927,65051.4477519,0.1487693711088589
2026-07-24,64086.59,-0.01481756937074108,0.0030459221955556615,0.05082378211750038,,0.31139913481769554,-0.1547639741738892,64139.99,0.99909,64081.6226091,-0.7751061337479825
2026-07-25,64307.9,0.0034532965476865574,-0.007476962943927745,0.07725174072881624,,0.3001126813687748,-0.15184512352392365,64375.0,0.99907,64315.13125,1.1244730429704752
2026-07-26,65338.88,0.016031933868156045,0.010162089423294773,0.0886297059383152,,0.3036154810050963,-0.138247560634305,65399.99,0.99907,65339.168009299996,0.04407931387895303
2026-07-27,63697.72,-0.02511766347999833,-0.02322986662086768,0.06269011697850879,,0.3190289820848655,-0.1598927684093603,63755.86,0.99907,63696.5670502,-0.18100330749670768
2026-07-28,63850.53,0.00239898696531049,-0.04011128903940964,0.07360009846436943,,0.3170451150976082,-0.1578773621113112,63915.0,0.99876,63835.7454,-2.315501531466868
2026-07-29,63894.39,0.0006869167726564207,-0.03311164576274295,0.062006161173834284,,0.31534687177486664,-0.15729889394671182,63984.28,0.99873,63903.0199644,1.350660738759224
2026-07-30,64716.76,0.012870770031609968,-0.005130169677456609,0.1057747329100811,,0.2986519549388757,-0.14645268180531656,64780.02,0.99908,64720.422381599994,0.565909294591993
2026-07-31,62817.96,-0.02934015856170802,-0.019795560974612547,0.04760399083041578,,0.3102901995645519,-0.17149589546106925,62887.88,0.99892,62819.9610896,0.3185537384542414
2026-08-01,62759.82,-0.0009255314881285726,-0.024072936606544526,0.020831794870126652,,0.2986258598564986,-0.17226270209786376,62823.64,0.99905,62763.957542,0.6592660718274246
2026-08-02,63499.99,0.01179369220625559,-0.028143886151706266,0.015634861456186977,,0.29566966804725653,-0.16250062317876834,63570.0,0.99885,63496.8945,-0.48748039172874513
2026-08-03,63460.01,-0.0006296063983631806,-0.003731844719088828,0.0059257035376052425,,0.29410516944180326,-0.16302791814504014,63520.0,0.99904,63459.020800000006,-0.15587769368385906
2026-08-04,64056.48,0.009399147589166823,0.0032255018086773113,0.007382319610310661,,0.2946255310378739,-0.15516109401967315,64106.56,0.9991,64048.864096,-1.188935764189214
2026-08-05,64600.22,0.008488446446011322,0.011046822733576489,0.009376860348655702,,0.2952320629243858,-0.1479897242107523,64665.23,0.99899,64599.91811770001,-0.0467308470453176
2026-08-06,64255.55,-0.005335430746211012,-0.0071265928640432685,0.014914399167289316,,0.2932457285739925,-0.15253556603228602,64323.61,0.9991,64265.718751,1.5825482779296962
2026-08-07,64877.77,0.009683521501255399,0.03279014472930997,0.04241679981181856,,0.2878354891243967,-0.1443291259644104,64923.19,0.9994,64884.236086,0.996656636009785
2026-08-08,64908.72,0.0004770509220648478,0.034240059961931024,0.027265568025281572,,0.28354153404341337,-0.14392092738496776,64962.6,0.9991,64904.13366,-0.706583029214114
2026-08-09,64857.27,-0.0007926515882612506,0.02137449155503801,0.01158899932542301,,0.2792385834561384,-0.1445994998215533,64901.59,0.99915,64846.42364849999,-1.672341666555388
2026-08-10,63911.16,-0.014587570522163418,0.007109201527071951,0.0020562869149753915,,0.28355277040008264,-0.15707771494260026,63970.01,0.99906,63909.8781906,-0.20056112265853798
2026-08-11,63542.82,-0.005763312698439549,-0.00801886085529524,-0.003147617026123095,,0.2842817639194167,-0.16193573965186925,63600.0,0.99908,63541.488,-0.20962242468947068
2026-08-12,63406.33,-0.0021480003562951433,-0.018481206410752127,0.018464164803818406,,0.2715305374324603,-0.1637359019816953,63479.99,0.99891,63410.79681089999,0.7044739697104063
2026-08-13,63418.04,0.00018468187639930633,-0.013034049198862974,-0.023973262627947745,,0.22500039916380302,-0.16358145915890787,63490.86,0.999,63427.36914,1.4710546084373277
2026-08-14,62975.97,-0.006970729464360614,-0.02931358460686917,-0.026854537893986508,,0.22576954789186962,-0.1694119065260863,63043.56,0.99901,62981.146875599996,0.8220398351932445
2026-08-15,63025.94,0.000793477258071551,-0.02900658031771386,-0.011947070939025806,,0.22049207723131958,-0.16875285376308968,63086.01,0.99889,63015.9845289,-1.5795831208553768
2026-08-16,62831.66,-0.0030825403000732665,-0.03123181102133954,-0.01659551010940652,,0.22055941669647566,-0.1713152065906859,62900.0,0.99889,62830.181,-0.2353908841512542
2026-08-17,64484.76,0.02630998448871158,0.008974958364079022,-0.004747319706724595,,0.23404767778164595,-0.14951252253005565,64532.1,0.99908,64472.730467999994,-1.8654844958732042
2026-08-18,64686.09,0.0031221330435282635,0.017992119329925726,6.972618788836371e-05,,0.23425044024237127,-0.1468571874735397,64725.42,0.99927,64678.1704434,-1.2243059674810208
2026-08-19,69297.78,0.07129338007599473,0.09291580193964855,0.0626440289146577,,0.3349247886248273,-0.08603375268098767,69334.79,0.99943,69295.2691697,-0.3623247815442987
2026-08-20,73007.7,0.05353591413750913,0.15121344021354166,0.09755184558683383,,0.3733250042888546,-0.03710373413993551,73025.15,0.99974,73006.16346099999,-0.21046259504275966
2026-08-21,78325.11,0.07283355043372142,0.24373010848423604,0.18526269212918578,,0.4388054400322735,0.0,78338.03,0.99982,78323.9291546,-0.1507620480833971
2026-08-22,77065.64,-0.016080028486394782,0.22276066013454132,0.18470517050758106,,0.4390972812914849,-0.016080028486394782,77074.93,0.99979,77058.74426469998,-0.8947872618736419
2026-08-23,77716.48,0.008445268215510726,0.23689999595745181,0.21267928282656334,,0.4328325077787821,-0.0077705604243646365,77734.0,0.99994,77729.33596,1.6542128516361387
2026-08-24,78986.06,0.016336046099874935,0.2248794909060683,0.22824816235641343,0.0417446684253715,0.4340124981697856,0.0,78992.75,0.99989,78984.0607975,-0.2531082699908094
2026-08-25,78534.93,-0.005711514158321163,0.21409301443324202,0.20196321087842328,0.05656427887994253,0.4348923738374153,-0.005711514158321163,78539.14,0.99992,78532.85686880001,-0.26397568572145147
2026-08-26,79022.66,0.006210357607755013,0.14033465429917102,0.24058851714001706,0.0748580370069516,0.41972273435428975,0.0,79023.75,0.99998,79022.169525,-0.062067639838847555
2026-08-27,80278.98,0.01589822463581947,0.09959607000357495,0.2572954367019349,0.09411721894983849,0.4203943008661208,0.0,80249.58,1.00016,80262.4199328,-2.0628148489176823
2026-08-28,77835.18,-0.03044134342514071,-0.006255082182457294,0.21818488289816984,0.055218428421622834,0.44091514440434326,-0.03044134342514071,77845.87,0.99991,77838.8638717,0.47329134460927236
2026-08-29,78235.02,0.005137008740777826,0.01517381805951401,0.20888344842974216,0.06343832419507445,0.4403666601490972,-0.025460712131618934,78230.0,0.99996,78226.87079999999,-1.0416307172944617
2026-08-30,77701.7,-0.00681689606521485,-0.00019017845378477283,0.23693446905948545,0.08957361163734512,0.4236487447091686,-0.032104045168486195,77682.0,0.99989,77673.45498,-3.6350581776201096
2026-08-31,78571.17,0.011189845267220777,-0.005252699020561358,0.25193427897020726,0.17853337253219648,0.4228645275133271,-0.0212734391991527,78581.29,0.99973,78560.07305169999,-1.4123435224411285
2026-09-01,77397.43,-0.014938558252346357,-0.014484000940727881,0.21885735730037115,0.20847305140521666,0.4297474194358746,-0.035894202940794706,77439.0,0.99944,77395.63416,-0.23202837613478522
2026-09-02,77301.83,-0.001235183132049622,-0.02177641198106972,0.2181187806305105,0.21134642747450427,0.42988089463665724,-0.037085050158833566,77340.01,0.99959,77308.3005959,0.8370559791393006
2026-09-03,81265.0,0.051268773326582195,0.012282418137350648,0.2686460448654062,0.3312934310625415,0.45578186082572275,0.0,81270.37,0.99999,81269.5572963,0.5607944748664551
2026-09-04,79676.6,-0.019545929982157095,0.023657939764512914,0.2333797005644873,0.3092076983646037,0.46587273674618146,-0.019545929982157095,79660.77,1.00023,79679.0919771,0.31276147576475566
2026-09-05,79830.42,0.0019305542656187225,0.020392402277138677,0.24238949009073907,0.26083095951526736,0.46413442194585947,-0.0176531101950409,79831.75,1.00006,79836.539905,0.7666131532313436
2026-09-06,80338.98,0.00637050387559035,0.03394108494408754,0.23831290748741818,0.273972602739726,0.4640618818850637,-0.011395065526364379,80341.83,0.99994,80337.00949020001,-0.2452744358949488
2026-09-07,79090.41,-0.015541272742073509,0.006608530838983384,0.21848666866331667,0.2821568590578263,0.4703445217680684,-0.02675924444717892,79112.01,0.99978,79094.6053578,0.5304508852588263
2026-09-08,78449.0,-0.008109832785036852,0.013586626842777783,0.20956370812400826,0.27649659132827153,0.47248982671053247,-0.03465206423429523,78455.8,0.9999,78447.95442000001,-0.1332814949828176
2026-09-09,78281.65,-0.0021332330558707646,0.012675249732121419,0.22485102758266295,0.23165284233146277,0.46745578084714334,-0.036711376361287185,78306.43,0.99974,78286.07032819999,0.5646697789329913
2026-09-10,76528.75,-0.02239222091000881,-0.05828154802190366,0.20436502503351295,0.2045883398099575,0.47676055460814104,-0.05828154802190366,76568.72,0.99961,76538.8581992,1.3208368358297307
2026-09-11,77212.48,0.008934289401042017,-0.030926520458955498,0.21774087855266178,0.19820732464307866,0.4758819892346116,-0.049867962837630064,77225.7,0.99975,77206.393575,-0.7882695906158421
2026-09-12,77269.22,0.000734855298003767,-0.03208300795611496,0.21841072351021884,0.17586790945406117,0.4757930256643097,-0.04916975327631823,77278.73,0.9998,77263.274254,-0.7694844078920404
2026-09-13,76808.69,-0.005960070517083027,-0.04394242993874198,0.2196507652045694,0.1588158483329951,0.47544069912299697,-0.05483676859656672,76842.01,0.99954,76806.66267539999,-0.26394469167634327
2026-09-14,78185.01,0.017918805801791393,-0.011447658445568942,0.24052112511134283,0.19161106526982663,0.47650629160722213,-0.037900572202055116,78189.21,0.99985,78177.48161850001,-0.9628932067651252
2026-09-15,75577.29,-0.033353196475897406,-0.03660607528457982,0.20285362506736226,0.17277242449056351,0.4965872231688394,-0.0699896634467484,75644.48,0.9993,75591.52886399999,1.8840135707431926
2026-09-16,76138.6,0.007426966486890674,-0.02737614753904638,0.1807223908408746,0.21066460253089847,0.4914597854234534,-0.06308250784470548,76206.01,0.99918,76143.52107179999,0.646330744193957
2026-09-17,76354.94,0.00284139713627507,-0.0022711725985331555,0.1803919513453358,0.20267977836211126,0.4914781039513933,-0.060420353165569374,76417.01,0.99912,76349.7630312,-0.6780136033113227
2026-09-18,80878.77,0.05924737810022518,0.04748312707997471,0.16711920641613642,0.258897402037054,0.47442296595329714,-0.004752722574293933,80883.87,0.99972,80861.2225164,-2.1696031727491683
2026-09-19,81235.14,0.004406224278633353,0.051326000184808374,0.11269277076253603,0.2846104143163879,0.4430842929833042,-0.0003674398572571791,81249.99,0.99963,81219.9275037,-1.8726497301535527
2026-09-20,81151.65,-0.0010277571996553103,0.056542560483715976,0.036087277758052316,0.26900656398477785,0.3720020430130163,-0.0013948194179537188,81178.0,0.99972,81155.27016,0.446098138486839
2026-09-21,86586.52,0.06697177444944136,0.10745678743278297,0.12354247625790182,0.38203581306923096,0.4275540838136825,0.0,86620.0,0.99981,86603.5422,1.965918020494506
2026-09-22,86201.35,-0.004448382958455843,0.14057212159896193,0.10917722984880429,0.41343810976109663,0.42819479950599293,-0.004448382958455843,86208.56,0.9999,86199.939144,-0.16366982651727646
