date,price_usd,return_1d,return_7d,return_30d,return_90d,rv30_ann,drawdown,usdt_usd,synthetic_btc_usdt,lagged_regime,wallet_realised_btc,wallet_ledger_btc,orders,contracts,maker_contracts
2019-10-22,8029.20537288136,-0.022218322087366182,-0.01611467780433773,-0.20083660751868848,-0.18008990362229382,0.5822503283021169,-0.5911916856886843,1.00049220342362,8025.2553147400195,down_30d_lt_minus10pct,-0.17162669,227.12853105,1,2000000,0
2019-10-23,7458.03585680889,-0.07113649353167562,-0.06819463913101542,-0.23055451291507034,-0.24644891340892716,0.6193566665877589,-0.6202728756953865,1.00125300185417,7448.702618616601,down_30d_lt_minus10pct,0.07376255,227.2022936,1,2000000,0
2019-10-24,7454.37113816482,-0.0004913785230361567,-0.07657095783640555,-0.13458838593885436,-0.24218756573285682,0.4778364944389835,-0.620459465448884,1.00161572991339,7442.346316595288,down_30d_lt_minus10pct,25.98044875,253.18274235,6,10000000,6512629
2019-10-25,8656.65517755699,0.16128577677555223,0.08761076740475571,0.027598905541681207,-0.08362912041011372,0.7155159995546635,-0.559244975515999,1.00142502230875,8644.33680476585,down_30d_lt_minus10pct,1.59778904,254.78053139,10,14003000,12639521
2019-10-26,9249.64676095851,0.06850123647513362,0.16370046343773326,0.1431036907466139,-0.029396457475859727,0.7345860235460643,-0.5290527113562171,1.00300159996547,9221.96610780775,range_30d_within10pct,-45.20525995,209.57527144,1,2000000,2000000
2019-10-27,9558.15604400935,0.033353628632935006,0.16368330048037527,0.1675110929033714,0.005681421000139242,0.7408705747706454,-0.5133449103851049,1.00248427181431,9534.469829347912,up_30d_gt10pct,2.40776591,211.98303735,17,20010272,16387689
2019-10-28,9319.17814167154,-0.025002511074046718,0.13487215944264275,0.1362109225588246,-0.028149753908201625,0.7484229048162394,-0.5255125096524424,1.00167865837258,9303.560641705535,up_30d_gt10pct,8.34306302,220.32610037,14,15741004,14963455
2019-10-29,9431.20712390415,0.012021337131829624,0.1746127650138396,0.1694708531474649,-0.0624114369479386,0.7449143474959117,-0.5198085355661387,1.00229988525734,9409.56620131977,up_30d_gt10pct,2.72073238,223.04683275,2,4000000,4000000
2019-10-30,9182.85506516657,-0.026333008646169165,0.23126990020877813,0.10872372343799253,-0.11705923176383148,0.7488195715032601,-0.5324534215508923,1.00129076963729,9171.017394370858,up_30d_gt10pct,-4.96996964,218.07686311,3,6000000,4000000
2019-10-31,9155.27729877265,-0.003003179969433667,0.22817567425634944,0.10111500539267348,-0.13052773388538197,0.7491540125631692,-0.5338575480700678,1.00107409610557,9145.45420203058,up_30d_gt10pct,-3.32824999,214.74861312,0,0,0
2019-11-01,9251.38129345412,0.010497114565208632,0.06870160630158884,0.10628966153732966,-0.14421642586680417,0.7495327358642595,-0.5289643973484521,1.00194552142744,9233.417481894596,up_30d_gt10pct,-1.629e-05,214.74859683,0,0,0
2019-11-02,9300.19083752192,0.0052759196188718605,0.005464433169139804,0.126703157200035,-0.15348989405692237,0.7472105446087702,-0.5264792513712356,1.00130097279299,9288.107262674806,up_30d_gt10pct,-1.619e-05,214.74858064,3,198100,98550
2019-11-03,9209.63869608416,-0.009736589605497614,-0.036462822569592546,0.12784627347781785,-0.21886174745339815,0.7469665072806567,-0.5310897285703219,1.00088778327619,9201.469785092586,up_30d_gt10pct,-0.00380998,214.74477066,0,0,0
2019-11-04,9418.36013062537,0.02266336839358929,0.010642782812609664,0.1568145241745893,-0.17552741256204296,0.7492266734853339,-0.5204626423453731,1.00171919953337,9402.195879856066,up_30d_gt10pct,1.649e-05,214.74478715,0,0,0
2019-11-05,9330.78722296902,-0.009298105661896594,-0.01064761908161349,0.18793771366665246,-0.22030801869299166,0.7366721094626423,-0.5249214313656726,1.00097514243726,9321.697240402615,up_30d_gt10pct,2.224e-05,214.74480939,0,0,0
2019-11-06,9354.93338229106,0.0025877944427454835,0.018739086689632645,0.13723641352533766,-0.21638888100150255,0.7220856656807807,-0.5236920256858932,1.00008965102601,9354.094778096809,up_30d_gt10pct,3.654e-05,214.74484593,0,0,0
2019-11-07,9210.74822238457,-0.015412740424152194,0.006058901527685956,0.12461767467112783,-0.22326840273089354,0.7248139371876511,-0.5310332368559503,0.999371918979983,9216.536954315861,up_30d_gt10pct,0.09526216,214.84010809,6,10500000,7000000
2019-11-08,8791.33393495032,-0.04553531128067989,-0.0497274238204094,0.022446448448506517,-0.22226260730354874,0.7269765594567905,-0.5523877843960076,0.999161060392619,8798.715525899075,up_30d_gt10pct,4.28211496,219.12222305,11,15499991,10605656
2019-11-09,8810.78456195208,0.002212477326612783,-0.05262325086871489,0.027126571573899305,-0.23585122568764416,0.7269062261472691,-0.5513974525178688,0.999606356410752,8814.25423662633,range_30d_within10pct,9.3456106,228.46783365,0,0,0
2019-11-10,9042.89072320281,0.026343415801249215,-0.018105810486598983,0.0908383539256985,-0.20569767279310502,0.7206443201455738,-0.5395797290800474,0.999866085932527,9044.101855668943,range_30d_within10pct,1.749e-05,228.46785114,0,0,0
2019-11-11,8713.20792957335,-0.03645767749725659,-0.0748699552015536,0.04678874050335469,-0.19819968488311324,0.7340116589066233,-0.5563655828304465,0.998607069649901,8725.361750771592,range_30d_within10pct,0.27799982,228.74585096,7,12000000,10000000
2019-11-12,8788.95814295734,0.008693722678978943,-0.058068956784042,0.06002803587170247,-0.12324168667418234,0.7341492122083447,-0.5525087482367239,0.99926355375249,8795.435508432742,range_30d_within10pct,0.60063789,229.34648885,0,0,0
2019-11-13,8766.72943050848,-0.0025291635353472675,-0.0628763378364674,0.050364538435544226,-0.1496938491753108,0.7341089980321788,-0.5536405267930704,0.998116837424783,8783.269755399884,range_30d_within10pct,1.1129842,230.45947305,7,4001000,3159384
2019-11-14,8645.43580362361,-0.013835675875060627,-0.06137529819641596,0.059397162750319143,-0.1665701802538775,0.7311678012023602,-0.5598162117881244,0.998307779278861,8660.09058836418,range_30d_within10pct,-1.09076794,229.36870511,3,4001000,2162154
