day,fills,orders,contracts,maker_contracts,fee_sat,end_position_contracts,last_execution_price
2018-08-25,471,23,4274038,1820452,18429522,-250001,6738.0
2018-08-26,646,40,8616856,6745225,-3736613,-550001,6707.5
2018-08-27,307,23,4079758,2858634,2705944,-250001,6900.0
2018-08-28,443,29,5765566,4627037,-3874212,1,7069.5
2018-08-29,50,6,1500000,1500000,-4785215,1,7066.5
2018-08-30,619,29,6141950,4287545,4188412,1,6977.5
2018-09-01,216,4,1000000,250000,6231627,1,7197.5
2018-09-02,405,15,3030360,2147173,-215624,-500001,7305.0
2018-09-03,77,4,1000000,750000,-172,-500001,7242.5
2018-09-04,145,11,2750000,2692306,-8594102,-750001,7347.5
2018-09-05,682,63,15162096,13404115,-28780056,2299999,6659.0
2018-09-06,1810,87,27888020,21401440,-7938819,-500001,6527.5
2018-09-07,22,5,1000000,1000000,-3875459,-1,6435.5
2018-09-08,1,1,250000,250000,-1023312,249999,6107.5
2018-09-09,382,25,5320038,3959827,364339,999999,6236.5
2018-09-10,122,6,1846654,1846654,-7316924,-1,6278.5
2018-09-13,365,17,3250000,2879904,-6859620,-750001,6446.0
2018-09-14,635,30,6910480,4404421,12092150,-500001,6480.0
2018-09-15,230,4,500000,145687,2166505,-1,6498.0
2018-09-21,1,1,1,0,11,0,6704.0
2018-09-24,159,4,431427,15713,4607667,-1,6686.0
2018-09-25,1,1,2,0,23,1,6396.5
2018-10-10,567,18,4500002,3931201,-8595073,-1,6548.5
2018-10-11,1249,46,12813485,6953386,41530499,-139078,6150.0
2018-10-12,149,10,2059077,1354449,3069868,-1,6215.0
2018-10-15,821,27,6250000,2760463,29875042,249999,6426.5
2018-10-16,225,7,1750000,657702,10078935,-1,6458.5
2018-10-18,82,4,1000000,750000,12813,-1,6389.0
2018-10-30,46,2,500000,250000,2000053,-1,6262.5
2018-11-09,1,1,2,0,23,1,6419.0
2018-11-15,41,2,1000000,1000000,-4474987,1,5580.0
2018-11-17,143,3,600000,200000,4554829,-199999,5485.5
2018-11-18,75,4,220102,9644,2811035,-7607,5552.5
2018-11-19,728,51,8038440,3486032,52549132,-1,4839.5
2018-11-20,1469,98,15509486,8628828,65379565,1,4337.5
2018-11-21,630,43,6798796,3426430,37504573,1,4457.0
2018-11-22,474,31,5200992,2381544,34652274,-1,4287.0
2018-11-23,626,35,5926918,1783771,62824022,1,4255.0
2018-11-24,2264,91,16817834,8510399,104056083,1,3785.0
2018-11-25,4547,238,48072728,24931963,285845046,-300001,3946.5
2018-11-26,2292,97,21817380,10374385,159600322,1,3732.5
2018-11-27,2646,87,18248951,7789786,147314785,347500,3777.5
2018-11-28,2350,99,23912153,16412166,33128176,529875,4209.5
2018-11-29,3092,104,23508469,13005728,107973582,-732328,4260.0
2018-11-30,1849,72,16325671,10493531,44219580,-349999,3955.0
2018-12-01,458,24,4597430,3351523,1469054,-1,4140.5
2018-12-02,1147,44,9237484,7257748,-7954841,-350001,4120.0
2018-12-03,1687,57,13742796,8970771,34465451,-349999,3837.5
2018-12-04,760,33,7064252,5264754,1381107,350001,3882.5
2018-12-05,545,21,4200002,3085631,1467396,-350001,3692.5
2018-12-06,1571,58,13045614,8307054,32143166,-356851,3450.0
2018-12-07,1950,82,20220990,12191889,89939206,-765,3432.5
2018-12-08,198,9,1112126,671026,2229721,350027,3418.5
2018-12-09,1819,50,13216603,9457606,12435363,48,3522.0
2018-12-10,1500,51,10756917,5762441,66714281,77,3385.0
2018-12-11,544,25,6211955,4312492,10569860,-700930,3347.5
2018-12-12,1778,46,10260385,6635998,29777100,-2771,3441.0
2018-12-13,1410,35,8826015,4351330,67798346,-701386,3242.0
2018-12-14,853,25,5463314,3184786,28841924,228,3202.5
2018-12-15,517,14,4900000,3568272,3466462,228,3145.5
2018-12-16,1578,44,12044913,10211751,-36941884,-700087,3187.5
2018-12-17,6499,137,44866082,26285716,212943152,701237,3472.5
2018-12-18,2648,93,24081983,20956299,-81766181,2246,3652.5
2018-12-19,2688,86,26972145,18924568,33717647,1400175,3692.5
2018-12-20,4357,149,45182854,30624802,83658477,-899779,4062.5
2018-12-21,3893,94,26036377,12228003,181188298,-902348,3845.5
2018-12-22,2486,55,14427779,7395015,88604655,-445675,3980.0
2018-12-23,833,31,8934579,7534229,-23154982,-186,3938.0
2018-12-24,746,30,11310164,8958501,-11287513,-470022,4019.5
2018-12-25,2538,59,16292261,8685466,93336766,-450043,3763.0
2018-12-26,1781,48,13083280,6625149,84548850,-293,3775.0
2018-12-27,225,8,1861682,909824,12611135,363,3585.0
2018-12-28,256,11,4000500,2646600,8825726,-500137,3845.0
2018-12-29,729,22,7081407,5385401,-1870662,456,3705.0
2018-12-30,1119,24,5948243,3253611,30551079,-454933,3797.5
2018-12-31,85,2,454524,9815,7525038,-409,3692.0
2019-01-01,168,5,1342977,934747,1937123,-186,3713.0
2019-01-02,446,6,1725237,801099,12755391,-423,3862.5
2019-01-04,271,9,2699980,1351190,18006813,-403,3743.0
2019-01-05,35,2,900000,900000,-5866634,-403,3827.5
2019-01-07,469,15,2976455,2381596,-3734348,246,4029.5
2019-01-08,62,2,900000,900000,-5658273,246,3983.0
2019-01-10,469,21,6151221,4055865,13861226,449513,3577.5
2019-01-11,586,17,5195166,4495488,-16670100,-92241,3567.5
2019-01-12,15,2,95000,95000,-654187,2759,3628.0
2019-01-13,565,10,3602051,2322051,7090257,900708,3492.5
2019-01-14,515,14,5142528,4690079,-22627242,-1541820,3710.0
2019-01-15,316,8,3161886,2061400,8649942,-501934,3622.5
2019-01-16,306,8,3500762,2060407,15544030,-1172,3594.5
2019-01-17,121,2,500000,471779,-2699920,-501172,3585.0
2019-01-19,111,2,499577,499577,-3382838,-1000749,3692.0
2019-01-20,126,5,1431006,1431006,-10159123,-1000749,3536.0
2019-01-21,281,4,2000000,1543335,-1276484,-749,3500.0
2019-01-23,171,3,1000062,1000062,-7015801,-811,3565.5
2019-01-26,139,2,1000000,1000000,-7043192,-1000811,3550.5
2019-01-27,324,11,3407566,2907561,-9869984,-608377,3547.0
2019-01-28,372,13,4139727,3518960,-12177742,-1500128,3435.0
2019-01-29,557,14,5501651,5498651,-40343538,-477,3382.5
2019-01-30,54,3,1151884,1151884,-8381226,-500361,3442.5
2019-01-31,11,1,500000,500000,-3661369,-361,3414.0
2019-02-01,493,6,2500500,1094304,22943110,500139,3445.0
2019-02-02,81,3,1500000,1500000,-10878213,139,3460.0
2019-02-03,311,4,2000000,2000000,-14550376,139,3422.5
2019-02-07,76,1,500000,500000,-3722481,500139,3358.0
2019-02-08,626,11,4163311,2410179,19156523,500652,3622.5
2019-02-09,31,3,1500000,1500000,-10363483,1000652,3615.0
2019-02-10,1226,7,5000495,1397077,63636315,157,3650.0
2019-02-11,38,3,1000200,500000,6959828,-43,3603.0
2019-02-12,154,5,2000100,2000000,-13979359,57,3607.5
2019-02-13,182,5,2000100,1975110,-13190185,-43,3584.5
2019-02-14,86,1,500000,0,10511587,-500043,3567.5
2019-02-15,61,1,500000,500000,-3494473,-1000043,3577.0
2019-02-16,95,2,500010,500000,-3479258,-1500053,3595.5
2019-02-17,570,9,5499547,2999547,30937703,-1000506,3625.0
2019-02-18,617,21,8000503,6762387,-19813939,-2000403,3892.5
2019-02-19,1065,33,12828911,11780906,-55481287,-1000338,3924.0
2019-02-20,224,4,1500400,1000000,3276453,500062,3913.0
2019-02-21,102,6,2500150,2458104,-14982934,-88,3882.5
2019-02-22,223,11,3000388,2476877,-5799015,-76,3947.5
2019-02-23,11,3,500400,500000,-3030151,-500076,4115.0
2019-02-24,1434,36,13151604,8227076,41990160,-1200342,3775.0
2019-02-25,600,10,4800000,2008525,41988658,-1200342,3834.5
2019-02-26,73,2,600000,600000,-3961349,-600342,3787.5
2019-02-28,214,7,2149226,1514182,2410085,82,3845.0
2019-03-01,169,7,2399570,2250334,-11796955,-748,3801.5
2019-03-04,360,7,3173471,2181517,5184257,381,3705.0
2019-03-05,295,10,4208254,3914770,-19948833,-600273,3847.5
2019-03-06,492,13,3486036,2723469,-2969718,-69,3831.0
2019-03-07,161,8,2108460,2108459,-13648838,-2108529,3850.5
2019-03-08,423,4,2800000,842752,32535369,-708529,3884.0
2019-03-10,425,3,1408400,1400000,-8822042,-700129,3902.0
2019-03-11,41,1,700000,700000,-4544206,-1400129,3851.0
2019-03-12,152,8,2800461,2800000,-18282977,-68,3871.5
2019-03-13,1,1,200,0,3891,132,3854.5
2019-03-14,939,14,6028740,3028740,39214444,-2144,3846.0
2019-03-16,399,5,3502000,2802000,-4312078,-700144,3984.0
2019-03-17,271,5,1400051,1264748,-5432334,-700195,3964.0
2019-03-18,24,5,1400000,1400000,-8749564,-700195,3998.5
2019-03-19,44,1,700000,700000,-4406306,-195,3971.5
2019-03-21,256,5,2450212,875106,24129541,-700195,3967.5
2019-03-22,196,2,1400000,700000,8850863,-700195,3992.0
2019-03-23,172,3,1400000,1400000,-8794176,-700195,3968.0
2019-03-26,313,5,2545444,1147956,19469810,-187,3910.5
2019-03-27,122,5,3500000,3500000,-21767323,-700187,4027.5
2019-03-28,101,4,2100250,1400000,4334518,1400063,3997.5
2019-03-29,57,4,2800000,2800000,-17365582,63,4053.5
2019-03-30,178,9,3500600,3500000,-21399203,-700137,4072.5
2019-03-31,18,1,700000,700000,-4278744,-1400137,4090.0
2019-04-01,103,3,1400000,1400000,-8475049,-1400137,4128.0
