date,scenario,base_equity_usd,shocked_equity_usd,change_usd,change_fraction_of_base,btc_move,alt_usd_move,usdt_usd_move,futures_basis_move
2019-11-07,joint_up,1962630.2182025197,1655055.6618430237,-307574.55635949597,-0.15671549001277937,0.2,0.3,0.0,0.0
2019-11-07,usdt_down5,1962630.2182025197,1962630.2182025197,0.0,0.0,0.0,0.0,-0.05,0.0
2019-11-07,futures_basis_down5,1962630.2182025197,1962630.2182025197,0.0,0.0,0.0,0.0,0.0,-0.05
2019-11-07,futures_basis_up5,1962630.2182025197,1962630.2182025197,0.0,0.0,0.0,0.0,0.0,0.05
2019-11-08,btc_down20,2008540.6548522408,1606934.9238817927,-401605.7309704481,-0.19994901771106666,-0.2,0.0,0.0,0.0
2019-11-08,btc_up20,2008540.6548522408,2410146.3858226887,401605.7309704479,0.19994901771106655,0.2,0.0,0.0,0.0
2019-11-08,alts_down30,2008540.6548522408,2008540.6548522408,0.0,0.0,0.0,-0.3,0.0,0.0
2019-11-08,joint_down,2008540.6548522408,1606934.9238817927,-401605.7309704481,-0.19994901771106666,-0.2,-0.3,0.0,0.0
2019-11-08,joint_up,2008540.6548522408,2410146.3858226887,401605.7309704479,0.19994901771106655,0.2,0.3,0.0,0.0
2019-11-08,usdt_down5,2008540.6548522408,2008540.6548522408,0.0,0.0,0.0,0.0,-0.05,0.0
2019-11-08,futures_basis_down5,2008540.6548522408,2008540.6548522408,0.0,0.0,0.0,0.0,0.0,-0.05
2019-11-08,futures_basis_up5,2008540.6548522408,2008540.6548522408,0.0,0.0,0.0,0.0,0.0,0.05
2019-11-09,btc_down20,2012983.5264704807,1610489.2211763847,-402494.305294096,-0.19994913023447355,-0.2,0.0,0.0,0.0
2019-11-09,btc_up20,2012983.5264704807,2415477.831764577,402494.30529409624,0.19994913023447367,0.2,0.0,0.0,0.0
2019-11-09,alts_down30,2012983.5264704807,2012983.5264704807,0.0,0.0,0.0,-0.3,0.0,0.0
2019-11-09,joint_down,2012983.5264704807,1610489.2211763847,-402494.305294096,-0.19994913023447355,-0.2,-0.3,0.0,0.0
2019-11-09,joint_up,2012983.5264704807,2415477.831764577,402494.30529409624,0.19994913023447367,0.2,0.3,0.0,0.0
2019-11-09,usdt_down5,2012983.5264704807,2012983.5264704807,0.0,0.0,0.0,0.0,-0.05,0.0
2019-11-09,futures_basis_down5,2012983.5264704807,2012983.5264704807,0.0,0.0,0.0,0.0,0.0,-0.05
2019-11-09,futures_basis_up5,2012983.5264704807,2012983.5264704807,0.0,0.0,0.0,0.0,0.0,0.05
2019-11-10,btc_down20,2065999.0570320482,1652901.6456256385,-413097.4114064097,-0.1999504356017727,-0.2,0.0,0.0,0.0
2019-11-10,btc_up20,2065999.0570320482,2479096.4684384577,413097.41140640946,0.19995043560177259,0.2,0.0,0.0,0.0
2019-11-10,alts_down30,2065999.0570320482,2065999.0570320482,0.0,0.0,0.0,-0.3,0.0,0.0
2019-11-10,joint_down,2065999.0570320482,1652901.6456256385,-413097.4114064097,-0.1999504356017727,-0.2,-0.3,0.0,0.0
2019-11-10,joint_up,2065999.0570320482,2479096.4684384577,413097.41140640946,0.19995043560177259,0.2,0.3,0.0,0.0
2019-11-10,usdt_down5,2065999.0570320482,2065999.0570320482,0.0,0.0,0.0,0.0,-0.05,0.0
2019-11-10,futures_basis_down5,2065999.0570320482,2065999.0570320482,0.0,0.0,0.0,0.0,0.0,-0.05
2019-11-10,futures_basis_up5,2065999.0570320482,2065999.0570320482,0.0,0.0,0.0,0.0,0.0,0.05
2019-11-11,btc_down20,1998344.8811140019,1598778.3048912014,-399566.5762228004,-0.19994875759386294,-0.2,0.0,0.0,0.0
2019-11-11,btc_up20,1998344.8811140019,2397911.457336802,399566.5762228002,0.19994875759386282,0.2,0.0,0.0,0.0
2019-11-11,alts_down30,1998344.8811140019,1998344.8811140019,0.0,0.0,0.0,-0.3,0.0,0.0
2019-11-11,joint_down,1998344.8811140019,1598778.3048912014,-399566.5762228004,-0.19994875759386294,-0.2,-0.3,0.0,0.0
2019-11-11,joint_up,1998344.8811140019,2397911.457336802,399566.5762228002,0.19994875759386282,0.2,0.3,0.0,0.0
2019-11-11,usdt_down5,1998344.8811140019,1998344.8811140019,0.0,0.0,0.0,0.0,-0.05,0.0
