posting_date,model_sat,wallet_sat,residual_sat,symbol
2019-01-02,52389179,52389179,0,XBTUSD
2019-01-03,39295750,39295750,0,XBTUSD
2019-01-04,-8034,-8034,0,XBTUSD
2019-01-05,-18379762,-18379762,0,XBTUSD
2019-01-06,-3832,-3832,0,XBTUSD
2019-01-07,68467444,68467444,0,XBTUSD
2019-01-08,96365811,96365811,0,XBTUSD
2019-01-09,1720,1720,0,XBTUSD
2019-01-10,-174751764,-174751764,0,XBTUSD
2019-01-11,525140523,525140523,0,XBTUSD
2019-01-12,671283205,671283205,0,XBTUSD
2019-01-13,-6334886,-6334886,0,XBTUSD
2019-01-14,613799304,613799304,0,XBTUSD
2019-01-15,703652698,703652698,0,XBTUSD
2019-01-16,534823274,534823274,0,XBTUSD
2019-01-17,189612127,189612127,0,XBTUSD
2019-01-18,-11435410,-11435410,0,XBTUSD
2019-01-19,-5465510,-5465510,0,XBTUSD
2019-01-20,7025163,7025163,0,XBTUSD
2019-01-21,680653805,680653805,0,XBTUSD
2019-01-22,292986997,292986997,0,XBTUSD
2019-01-23,3117609,3117609,0,XBTUSD
2019-01-24,20294104,20294104,0,XBTUSD
2019-01-25,-5377,-5377,0,XBTUSD
2019-01-26,-15785,-15785,0,XBTUSD
2019-01-27,181479994,181479994,0,XBTUSD
2019-01-28,460163510,460163510,0,XBTUSD
2019-01-29,448714313,448714313,0,XBTUSD
2019-01-30,253488796,253488796,0,XBTUSD
2019-01-31,-24585762,-24585762,0,XBTUSD
2019-02-01,71855889,71855889,0,XBTUSD
2019-02-02,250493252,250493252,0,XBTUSD
2019-02-03,-34444616,-34444616,0,XBTUSD
2019-02-04,847,847,0,XBTUSD
2019-02-05,864,864,0,XBTUSD
2019-02-06,990,990,0,XBTUSD
2019-02-07,-482,-482,0,XBTUSD
2019-02-08,102040922,102040922,0,XBTUSD
2019-02-09,131518626,131518626,0,XBTUSD
2019-02-10,-93579258,-93579258,0,XBTUSD
2019-02-11,129161528,129161528,0,XBTUSD
2019-02-12,4634696,4634696,0,XBTUSD
2019-02-13,193741983,193741983,0,XBTUSD
2019-02-14,360,360,0,XBTUSD
2019-02-15,-3981052,-3981052,0,XBTUSD
2019-02-16,8390261,8390261,0,XBTUSD
2019-02-17,-546386671,-546386671,0,XBTUSD
2019-02-18,202066302,202066302,0,XBTUSD
2019-02-19,-261475265,-261475265,0,XBTUSD
2019-02-20,148211856,148211857,-1,XBTUSD
2019-02-21,144115785,144115784,1,XBTUSD
2019-02-22,93575877,93575877,0,XBTUSD
2019-02-23,68974857,68974857,0,XBTUSD
2019-02-24,3279962,3279962,0,XBTUSD
2019-02-25,363281948,363281948,0,XBTUSD
2019-02-26,-225928335,-225928335,0,XBTUSD
2019-02-27,70040758,70040758,0,XBTUSD
2019-02-28,5442618,5442618,0,XBTUSD
2019-03-01,150115796,150115796,0,XBTUSD
2019-03-02,165586972,165586972,0,XBTUSD
2019-03-03,-12881,-12881,0,XBTUSD
2019-03-04,17284750,17284750,0,XBTUSD
2019-03-05,61999064,61999064,0,XBTUSD
2019-03-06,655487065,655487065,0,XBTUSD
2019-03-07,216823346,216823346,0,XBTUSD
2019-03-08,-93127743,-93127743,0,XBTUSD
2019-03-09,-16637993,-16637993,0,XBTUSD
2019-03-10,-17558297,-17558297,0,XBTUSD
2019-03-11,-33167943,-33167943,0,XBTUSD
2019-03-12,834330462,834330462,0,XBTUSD
2019-03-13,57520,57520,0,XBTUSD
2019-03-14,4623,4623,0,XBTUSD
2019-03-15,-186898113,-186898113,0,XBTUSD
2019-03-16,119058057,119058057,0,XBTUSD
2019-03-17,93210593,93210593,0,XBTUSD
2019-03-18,-53896481,-53896481,0,XBTUSD
2019-03-19,50348688,50348688,0,XBTUSD
2019-03-20,-127,-127,0,XBTUSD
2019-03-21,-3958,-3958,0,XBTUSD
2019-03-22,-18854949,-18854949,0,XBTUSD
2019-03-23,-16503702,-16503702,0,XBTUSD
2019-03-24,105546267,105546267,0,XBTUSD
2019-03-25,-12360040,-12360040,0,XBTUSD
2019-03-26,318393977,318393977,0,XBTUSD
2019-03-27,8693298,8693298,0,XBTUSD
2019-03-28,131555253,131555253,0,XBTUSD
2019-03-29,303649614,303649614,0,XBTUSD
2019-03-30,241665195,241665195,0,XBTUSD
2019-03-31,-7838535,-7838535,0,XBTUSD
2019-04-01,-48715816,-48715816,0,XBTUSD
2019-04-02,-7476784228,-7476784228,0,XBTUSD
2019-04-03,1887754789,1887754789,0,XBTUSD
2019-04-04,1352008939,1352008939,0,XBTUSD
2019-04-05,270662113,270662113,0,XBTUSD
2019-04-06,435214129,435214129,0,XBTUSD
2019-04-07,1160995415,1160995415,0,XBTUSD
2019-04-08,-150136891,-150136891,0,XBTUSD
2019-04-09,340907047,340907047,0,XBTUSD
2019-04-10,160174933,160174933,0,XBTUSD
2019-04-11,304010738,304010738,0,XBTUSD
2019-04-12,625957786,625957786,0,XBTUSD
2019-04-13,221090718,221090718,0,XBTUSD
2019-04-14,183858909,183858909,0,XBTUSD
2019-04-15,-355168090,-355168090,0,XBTUSD
2019-04-16,95346018,95346018,0,XBTUSD
2019-04-17,222319309,222319309,0,XBTUSD
2019-04-18,280921670,280921670,0,XBTUSD
2019-04-19,11137173,11137173,0,XBTUSD
2019-04-20,-52542235,-52542235,0,XBTUSD
2019-04-21,365003562,365003562,0,XBTUSD
2019-04-22,434819099,434819099,0,XBTUSD
2019-04-23,1454553175,1454553175,0,XBTUSD
2019-04-24,1016807221,1016807221,0,XBTUSD
2019-04-25,632114485,632114485,0,XBTUSD
2019-04-26,-521884844,-521884844,0,XBTUSD
2019-04-27,352464440,352464440,0,XBTUSD
2019-04-28,4700342,4700342,0,XBTUSD
2019-04-29,-71113590,-71113590,0,XBTUSD
2019-04-30,117986483,117986483,0,XBTUSD
2019-05-01,-805406868,-805406868,0,XBTUSD
2019-05-02,-54379834,-54379834,0,XBTUSD
2019-05-03,-733928111,-733928111,0,XBTUSD
2019-05-04,52534985,52534985,0,XBTUSD
2019-05-05,1208678674,1208678674,0,XBTUSD
2019-05-06,2042666165,2042666165,0,XBTUSD
2019-05-07,-651072136,-651072136,0,XBTUSD
2019-05-08,1264798647,1264798647,0,XBTUSD
2019-05-09,-514044216,-514044216,0,XBTUSD
2019-05-10,-194759649,-194759649,0,XBTUSD
2019-05-11,1069844363,1069844363,0,XBTUSD
2019-05-12,-269855561,-269855561,0,XBTUSD
2019-05-13,1460351568,1460351568,0,XBTUSD
2019-05-14,-2487303815,-2487303815,0,XBTUSD
2019-05-15,1821028702,1821028702,0,XBTUSD
2019-05-16,463188112,463188112,0,XBTUSD
2019-05-17,393169778,393169778,0,XBTUSD
2019-05-18,126523852,126523852,0,XBTUSD
2019-05-19,653061614,653061614,0,XBTUSD
2019-05-20,246531321,246531321,0,XBTUSD
2019-05-21,579951781,579951781,0,XBTUSD
2019-05-22,48660468,48660468,0,XBTUSD
2019-05-23,816847047,816847047,0,XBTUSD
2019-05-24,-311323539,-311323539,0,XBTUSD
2019-05-25,-36371157,-36371157,0,XBTUSD
2019-05-26,-16461,-16461,0,XBTUSD
2019-05-27,132347660,132347660,0,XBTUSD
2019-05-28,12089,12089,0,XBTUSD
2019-05-29,13212662,13212662,0,XBTUSD
2019-05-30,-457559222,-457559222,0,XBTUSD
2019-05-31,217907897,217907897,0,XBTUSD
2019-06-01,-253853256,-253853256,0,XBTUSD
2019-06-02,-808485545,-808485545,0,XBTUSD
2019-06-03,-11935474,-11935474,0,XBTUSD
2019-06-04,1301142706,1301142706,0,XBTUSD
2019-06-05,937083,937083,0,XBTUSD
2019-06-06,1717858,1717858,0,XBTUSD
2019-06-07,-6182712,-6182712,0,XBTUSD
2019-06-08,4440841,4440841,0,XBTUSD
2019-06-09,-3387739,-3387739,0,XBTUSD
2019-06-10,616978933,616978933,0,XBTUSD
2019-06-11,29123972,29123972,0,XBTUSD
2019-06-12,-161333169,-161333169,0,XBTUSD
2019-06-13,-11928135,-11928135,0,XBTUSD
2019-06-14,-137119684,-137119684,0,XBTUSD
2019-06-15,388712,388712,0,XBTUSD
2019-06-16,857616062,857616062,0,XBTUSD
2019-06-17,409551335,409551335,0,XBTUSD
2019-06-18,37445480,37445480,0,XBTUSD
2019-06-19,319559778,319559778,0,XBTUSD
2019-06-20,133414395,133414395,0,XBTUSD
2019-06-21,-1070078871,-1070078871,0,XBTUSD
2019-06-22,-350725907,-350725907,0,XBTUSD
2019-06-23,91378064,91378064,0,XBTUSD
2019-06-24,187802845,187802845,0,XBTUSD
2019-06-25,264556407,264556407,0,XBTUSD
2019-06-26,984514747,984514747,0,XBTUSD
2019-06-27,1042756641,1042756641,0,XBTUSD
2019-06-28,652987334,652987334,0,XBTUSD
2019-06-29,961821059,961821059,0,XBTUSD
2019-06-30,2581,2581,0,XBTUSD
2019-07-01,38591648,38591648,0,XBTUSD
2019-07-02,-981928410,-981928410,0,XBTUSD
2019-07-03,-89787768,-89787768,0,XBTUSD
2019-07-04,-41662182,-41662182,0,XBTUSD
2019-07-05,1091971769,1091971769,0,XBTUSD
2019-07-06,2030309,2030309,0,XBTUSD
2019-07-07,7021577,7021577,0,XBTUSD
2019-07-08,102132689,102132689,0,XBTUSD
2019-07-09,-199528208,-199528208,0,XBTUSD
2019-07-10,119016797,119016797,0,XBTUSD
2019-07-11,-9330010,-9330010,0,XBTUSD
2019-07-12,362562209,362562209,0,XBTUSD
2019-07-13,5150049,5150049,0,XBTUSD
2019-07-14,651317,651317,0,XBTUSD
2019-07-15,2502704404,2502704404,0,XBTUSD
2019-07-16,-1136476834,-1136476834,0,XBTUSD
2019-07-17,3717597426,3717597426,0,XBTUSD
2019-07-18,285888120,285888120,0,XBTUSD
2019-07-19,-435431450,-435431450,0,XBTUSD
2019-07-20,5815841,5815841,0,XBTUSD
2019-07-21,5656184,5656184,0,XBTUSD
2019-07-22,731511378,731511378,0,XBTUSD
2019-07-23,-977,-977,0,XBTUSD
