frequency,period,currency,flow_timing,days,valid_days,linked_return,invalid_reasons,net_flow,flow_adjusted_gain
M,2018-07,BTC,BOD,31,31,0.4335816839509541,,-4.0012,7.020137246000032
M,2018-07,BTC,EOD,31,31,0.4317319827530054,,-4.0012,7.020137246000032
M,2018-07,BTC,MID,31,31,0.4325773112617812,,-4.0012,7.020137246000032
M,2018-07,USD,BOD,31,31,0.7370461305770568,,-32704.906974887206,75750.19510246554
M,2018-07,USD,EOD,31,31,0.7348048796287567,,-32771.268658835994,75816.55678641434
M,2018-07,USD,MID,31,31,0.7358305825641605,,-32738.087816861596,75783.37594443993
M,2018-08,BTC,BOD,31,31,0.910449433969208,,-3.0016,15.070523333124278
M,2018-08,BTC,EOD,31,31,0.885295311247309,,-3.0016,15.070523333124278
M,2018-08,BTC,MID,31,31,0.8972179466210348,,-3.0016,15.070523333124278
M,2018-08,USD,BOD,31,31,0.7373391713420636,,-19562.9836907017,92005.6064797879
M,2018-08,USD,EOD,31,31,0.7144643221319982,,-18482.172909770416,90924.79569885661
M,2018-08,USD,MID,31,31,0.7251357280657948,,-19022.57830023606,91465.20108932225
M,2018-09,BTC,BOD,30,30,-0.8143621183746319,,-5.368877979999999,-18.8372109363575
M,2018-09,BTC,EOD,30,30,-0.8819022779199319,,-5.368877979999999,-18.8372109363575
M,2018-09,BTC,MID,30,30,-0.8484153359128072,,-5.368877979999999,-18.8372109363575
M,2018-09,USD,BOD,30,30,-0.8254778589866536,,-40788.8362418784,-131574.38032431615
M,2018-09,USD,EOD,30,30,-0.8889738068235091,,-36565.713260328,-135797.50330586656
M,2018-09,USD,MID,30,30,-0.8570664492425565,,-38677.27475110321,-133685.94181509136
M,2018-10,BTC,BOD,31,31,0.7957078505610882,,4.53085849,8.196180215488843
M,2018-10,BTC,EOD,31,31,0.7518883835283445,,4.53085849,8.196180215488843
M,2018-10,BTC,MID,31,31,0.780840448894045,,4.53085849,8.196180215488843
M,2018-10,USD,BOD,31,31,0.714638275824163,,29443.534585530946,49178.3951318114
