time,symbol,execcomm,lastqty
2018-07-16 04:00:00,XBTUSD,2400996,199999
2018-07-16 12:00:00,XBTUSD,-3,1
2018-07-16 20:00:00,XBTUSD,350577,199999
2018-07-17 04:00:00,XBTUSD,-890459,599999
2018-07-17 12:00:00,XBTUSD,0,1
2018-07-18 04:00:00,XBTUSD,11937,8905
2018-07-18 12:00:00,XBTUSD,-437023,251095
2018-07-18 20:00:00,XBTUSD,690700,264427
2018-07-19 04:00:00,XBTUSD,-4040,2957
2018-07-19 12:00:00,XBTUSD,-1352488,1002957
2018-07-19 20:00:00,XBTUSD,-341804,254546
2018-07-20 04:00:00,XBTUSD,-339329,253155
2018-07-20 12:00:00,XBTUSD,-306519,229637
2018-07-20 20:00:00,XBTUSD,278131,204193
2018-07-21 04:00:00,XBTUSD,343376,250001
2018-07-21 12:00:00,XBTUSD,-3121,2283
2018-07-21 20:00:00,XBTUSD,-3074,2283
2018-07-22 04:00:00,XBTUSD,-1,1
2018-07-22 12:00:00,XBTUSD,-1,1
2018-07-22 20:00:00,XBTUSD,-1,1
2018-07-23 04:00:00,XBTUSD,-327799,249999
2018-07-23 12:00:00,XBTUSD,195922,150570
2018-07-23 20:00:00,XBTUSD,194401,150570
2018-07-24 04:00:00,XBTUSD,-7701,5970
2018-07-24 12:00:00,XBTUSD,2684711,1325428
2018-07-24 20:00:00,XBTUSD,-568490,469594
2018-07-25 04:00:00,XBTUSD,-321775,269110
2018-07-25 12:00:00,XBTUSD,29201,23888
2018-07-25 20:00:00,XBTUSD,1663020,269850
2018-07-26 04:00:00,XBTUSD,-2234380,253650
2018-07-26 12:00:00,XBTUSD,-2113145,267667
2018-07-26 20:00:00,XBTUSD,-109887,17667
2018-07-27 04:00:00,XBTUSD,12052266,1262959
2018-07-27 12:00:00,XBTUSD,-79094,8925
2018-07-27 20:00:00,XBTUSD,-13370413,2716051
2018-07-28 04:00:00,XBTUSD,2716833,283949
2018-07-28 12:00:00,XBTUSD,8,1
2018-07-28 20:00:00,XBTUSD,5,1
