time,sample_date,complete_marks,active_contracts,external_flow_btc,btc_index_usd,equity_mark_bod_btc,equity_mark_eod_btc,equity_mark_bod_usd,equity_index_bod_usd,mark_minus_index_equity_usd,gross_mark_value_usd,gross_to_mark_equity_bod,v04_close_equity_btc,mark_minus_v04_btc
2020-03-02,2020-03-01,True,1,0.0,8532.4,428.1967139529702,428.1967139529702,3653545.642132323,3653772.457364784,-226.81523246131837,4500647.184767539,1.2318573861146076,427.6444046856122,0.5523092673579981
2020-04-02,2020-04-01,True,1,0.0,6661.42,598.2601187069307,598.2601187069307,3985261.9199567223,3984192.7089032717,1069.2110534505919,4001384.2110534506,1.0040454784203754,599.7547862985137,-1.4946675915830383
2020-05-02,2020-05-01,True,1,0.0,8828.84,589.1639022306729,589.1639022306729,5201633.826570254,5201334.789348646,299.03722160775214,6000344.962778391,1.1535500503953726,591.1788975919941,-2.014995361321212
2020-06-02,2020-06-01,True,1,0.0,10202.79,537.940949330354,537.940949330354,5488498.538418243,5488498.540817467,-0.002399223856627941,47.997600776219464,8.745124088172233e-06,537.9409512514391,-1.9210850723538897e-06
2020-07-02,2020-07-01,True,1,0.0,9235.7,574.1430223586173,574.1430223586173,5302612.711597482,5303060.960932703,-448.2493352210149,8999774.75066478,1.6972340316276804,573.5968569972962,0.5461653613210729
2020-08-02,2020-08-01,True,1,0.0,11813.88,626.7130600019203,626.7130600019203,7403912.885295486,7403912.916187641,-0.03089215513318777,473.9691078449213,6.401602979233398e-05,626.7131180441231,-5.804220279514993e-05
2020-09-02,2020-09-01,True,1,0.0,11924.92,545.2875909019469,545.2875909019469,6502510.898498445,6503718.406498099,-1207.507999653928,23999060.49200035,3.6907374499813903,537.7480654134713,7.539525488475647
2020-10-02,2020-10-01,True,1,0.0,10620.34,693.9640788612628,693.9640788612628,7370134.465293424,7370134.486701274,-0.021407850086688995,428.9785921492307,5.8204988547946653e-05,693.9641331383397,-5.427707685612404e-05
2020-11-02,2020-11-01,True,1,0.0,13766.03,598.0322092584078,598.0322092584078,8232529.33361752,8232507.542241666,21.791375854052603,9999357.791375855,1.2146155071131657,599.5709889771082,-1.5387797187004253
2020-12-02,2020-12-01,True,1,0.0,18779.22,614.4207339049128,614.4207339049128,11538342.134561818,11538682.304299455,-340.169737637043,6795874.830262363,0.5889819136066418,613.6430036925649,0.777730212347933
2021-01-02,2021-01-01,True,3,0.0,29405.48,505.581871406201,505.581871406201,14866877.607997615,15056079.27447593,-189201.66647831537,22990553.13648194,1.5464278204667674,512.0381423138689,-6.456270907667886
2021-02-02,2021-02-01,True,1,0.0,33533.6,776.4670618966411,776.4670618966411,26037735.866817202,26039238.81928995,-1502.9524727463722,29999647.047527257,1.1521603568365235,775.5345637600303,0.932498136610775
2021-03-02,2021-03-01,True,2,0.0,49643.08,735.6467565227827,735.6467565227827,36519770.78580102,36515106.23005167,4664.555749356747,12224909.078702003,0.3347476946228556,734.2241587552446,1.4225977675380364
2021-04-02,2021-04-01,True,1,0.0,58725.73,641.2996470369688,641.2996470369688,37660789.920988336,37675070.49866023,-14280.577671892941,59988365.4223281,1.5928599890810209,639.9230269610813,1.3766200758875584
2021-05-02,2021-05-01,True,6,0.0,57855.86,639.5819056534907,639.5819056534907,37003561.19202156,37015008.28092482,-11447.08890325576,101563447.71964273,2.744693873992352,639.8913486300042,-0.30944297651353736
2021-06-02,2021-06-01,True,3,0.0,36685.25,888.855242002902,888.855242002902,32607876.766686957,33360804.21893381,-752927.4522468522,42613068.56982693,1.3068335873178205,909.1980570747576,-20.342815071855625
2021-07-02,2021-07-01,True,3,0.0,33538.73,1019.0050157055248,1019.0050157055248,34176134.09039336,33901404.33890916,274729.75148420036,61394970.087073036,1.7964281719134136,1008.1294294520336,10.875586253491178
2021-08-02,2021-08-01,True,3,0.0,39877.1,1060.4208968452158,1060.4208968452158,42286510.14558636,42057499.484292,229010.661294356,123082849.79980406,2.9106882874951743,1051.692367994294,8.728528850921748
2021-09-02,2021-09-01,True,2,0.0,48839.21,1345.502058110515,1345.502058110515,65713257.571491644,65653109.18730902,60148.38418262452,63355051.61581738,0.9641136957316613,1340.2522961461557,5.2497619643593225
2021-10-02,2021-10-01,True,3,0.0,48160.8,1137.0496211677087,1137.0496211677087,54761219.395133786,54765706.59574717,-4487.200613386929,66553937.71479472,1.2153479862194023,1140.4874954300285,-3.4378742623198377
2021-11-02,2021-11-01,True,3,0.0,60963.61,797.433754102253,797.433754102253,48614440.38592566,48648696.919900075,-34256.533974416554,109072807.40663572,2.243629805069469,796.9162190947768,0.5175350074762264
2021-12-02,2021-12-01,True,1,0.0,57235.41,870.0800352879471,870.0800352879471,49799387.552520126,49796873.313849784,2514.2386703416705,50140585.76132966,1.0068514539149642,869.1964937969707,0.8835414909764268
