date,symbol,fills,contracts,turnover_usd_proxy,maker_usd_proxy,known_liquidity_usd_proxy,forced_fills,fee_sat
2018-07-13,ADAU18,60,1733521,244054.3960555154,244054.3960555154,244054.3960555154,0,-1782995
2018-07-13,EOSU18,73,51905,363117.5902562074,356125.2959312373,363117.5902562074,0,-2346336
2018-07-13,XBTUSD,178,4101574,4101574.0,2953501.0,4101574.0,0,1449201
2018-07-14,EOSU18,35,19605,137109.60971654218,137109.60971654218,137109.60971654218,0,-993697
2018-07-14,XBTUSD,88,1600000,1600000.0,1400000.0,1600000.0,0,-2872092
2018-07-15,EOSU18,57,28440,205554.06196849808,203072.4355406952,205554.06196849808,0,-1371639
2018-07-15,XBTUSD,13,200000,200000.0,200000.0,200000.0,0,-708786
2018-07-16,ADAU18,2,200001,30811.42196418274,30811.271145105195,30811.42196418274,0,-218425
2018-07-16,EOSU18,66,45728,351980.6795900588,342603.8906475044,351980.6795900588,0,-2096429
2018-07-16,XBTUSD,153,3600000,3600000.0,2721461.0,3600000.0,0,-263480
2018-07-17,ADAU18,2,200000,32211.875699824657,32211.875699824657,32211.875699824657,0,-215999
2018-07-17,EOSU18,30,14910,120346.1016154333,115223.7557200323,120346.1016154333,0,-600898
2018-07-17,XBTUSD,382,8766207,8766207.0,7166208.0,8766207.0,1,-7930848
2018-07-18,ADAU18,17,400000,75563.17981336116,75563.17981336116,75563.17981336116,0,-464482
2018-07-18,EOSU18,21,23240,212672.39608660754,205909.07641558498,212672.39608660754,0,-1057855
2018-07-18,ETHU18,1,200,96602.56934868376,0.0,96602.56934868376,0,2969100
2018-07-18,TRXU18,7,2000000,81405.01448600813,81405.01448600813,81405.01448600813,0,-500399
2018-07-18,XBTUSD,981,19276396,19276396.0,15272075.0,19276396.0,0,-9898902
2018-07-18,XRPU18,59,1028496,504970.2782549575,494103.2944686617,504970.2782549575,0,-2703259
2018-07-19,ADAU18,14,400000,73393.10551283069,73392.91779265496,73393.10551283069,0,-447747
2018-07-19,EOSU18,2,5000,42076.61070639583,42076.61070639583,42076.61070639583,0,-256701
2018-07-19,ETHU18,18,427,202942.17981570167,202942.17981570167,202942.17981570167,0,-1238108
2018-07-19,TRXU18,104,8164609,320751.16093655204,320751.16093655204,320751.16093655204,0,-1956814
2018-07-19,XBTUSD,440,8468533,8468533.0,6370385.0,8468533.0,0,-319971
2018-07-19,XRPU18,40,404984,201214.18277469446,200200.3052941879,201214.18277469446,0,-1190450
2018-07-20,ADAU18,4,200000,34796.37982901226,34796.37982901226,34796.37982901226,0,-209698
2018-07-20,BCHU18,28,244,196500.98118118473,185939.60786999267,196500.98118118473,0,-802322
2018-07-20,EOSU18,9,5280,43476.92667306892,43476.92667306892,43476.92667306892,0,-262009
2018-07-20,TRXU18,70,8172292,299717.0926647824,299717.05488158885,299717.0926647824,0,-1806219
2018-07-20,XBTUSD,168,4385496,4385496.0,3635496.0,4385496.0,0,-4214505
2018-07-20,XRPU18,3,517406,224113.2095568917,96641.11075717345,224113.2095568917,1,3258640
2018-07-21,ADAU18,1,200000,31902.875597494465,31902.875597494465,31902.875597494465,0,-195930
2018-07-21,EOSU18,15,5000,39391.33192745297,39391.33192745297,39391.33192745297,0,-241914
2018-07-21,TRXU18,7,172291,6299.477701985281,6299.477701985281,6299.477701985281,0,-38687
2018-07-21,XBTUSD,103,1002284,1002284.0,683864.0,1002284.0,0,839196
2018-07-22,ADAU18,6,200000,35170.14055857989,34648.58495021632,35170.14055857989,0,-194564
2018-07-22,XBTUSD,272,6082238,6082238.0,4652338.0,6082238.0,0,-1131379
2018-07-23,TRXU18,9,3521240,121163.70199445295,121163.70199445295,121163.70199445295,0,-736855
2018-07-23,XBTU18,1,100000,100000.0,100000.0,100000.0,0,-289417
2018-07-23,XBTUSD,187,3307109,3307109.0,2154327.0,3307109.0,0,3779234
2018-07-24,ADAU18,42,600600,102205.18204283746,102205.18204283746,102205.18204283746,0,-596024
2018-07-24,EOSU18,20,24720,202657.69251224576,202657.69251224576,202657.69251224576,0,-1181873
2018-07-24,ETHU18,38,565,260802.84365827762,254272.9672582449,260802.84365827762,0,-1292473
2018-07-24,LTCU18,12,2058,176028.18663602028,176028.18663602028,176028.18663602028,0,-1026579
2018-07-24,TRXU18,151,13902985,485420.8500919746,474405.42284022865,485420.8500919746,0,-2445444
2018-07-24,XBTUSD,576,17089037,17089037.0,12221015.0,17089037.0,0,5873094
2018-07-25,EOSU18,47,20000,182143.02675609183,169309.7287249059,182143.02675609183,0,-563413
2018-07-25,ETHU18,9,175,87350.49548696706,87350.49548696706,87350.49548696706,0,-468080
