date,symbol,minutes,valid_minutes,basis_median_bps,basis_p01_bps,basis_p99_bps,max_abs_basis_bps,last_mark_abs_p99_bps,is_future
2021-03-01,XBTUSD,1440,1440,0.5009333167838026,0.011381940593713226,0.9907203352199411,1.0004657126549965,15.577842753628175,False
2021-04-01,XBTUSD,1440,1440,3.676946070720888,0.1024949196603897,10.835452671296128,11.169523910037338,14.153427958057005,False
2021-05-01,BCHUSD,1440,1440,1.4227497740926243,0.038135096022884396,8.31897600553677,8.5138864423695,26.563740123585717,False
2021-05-01,ETHUSD,1440,1440,3.4207708887556976,0.10492037641403051,10.360730507508807,10.663291705705902,21.29477972834526,False
2021-05-01,LINKUSDT,1440,1440,5.903414000324458,0.1614532855666262,15.519895423518545,15.997432127399236,43.708069078568045,False
2021-05-01,LTCUSD,1440,1440,2.975028356768661,0.18193653986411373,11.325361375825382,11.656709893632655,23.520609311708025,False
2021-05-01,XBTUSD,1440,1440,0.5004906444749935,0.011020398023453561,0.9903447311463862,1.0003835667560246,13.383308353840977,False
2021-05-01,XRPUSD,1440,1440,-0.3152933054340057,-3.170275496939823,3.719869200579961,4.06949444357485,60.124481915751645,False
2021-06-01,ETHUSD,1440,1440,3.565673341808795,0.07730712016380537,9.57277227349249,9.845762791644841,26.86208980762691,False
2021-06-01,ETHUSDM21,1440,1440,1018.9091772517289,939.9445225284115,1098.302350852627,1118.8294032590984,139.8795917952593,True
2021-06-01,XBTUSD,1440,1440,0.0,-0.4561298879340314,0.47573921192038937,0.49115511496999886,16.144650165221424,False
2021-07-01,ETHUSD,1440,1440,0.8468974199504764,-1.1784067812946941,7.6482658981627845,7.871673417083613,28.545331826924222,False
2021-07-01,XBTU21,1440,1440,69.91221631493794,46.40213617180946,117.10152727183161,117.11909432167822,28.404376649387427,True
2021-07-01,XBTUSD,1440,1440,-0.8905672328546332,-3.338051965344102,-0.010084592034176594,3.439805513819616,15.737357379564557,False
2021-08-01,ETHUSD,1440,1440,0.5029490498020817,0.0,0.9940037336130245,1.0145798887717383,13.52469501367846,False
2021-08-01,XBTU21,1440,1440,88.62800528895542,58.64092578466202,104.26587043875585,104.45334375000614,20.903764365767227,True
2021-08-01,XBTUSD,1440,1440,0.21772505624961802,-0.8143427980116802,0.9411804210885053,0.9696279167736854,16.621806253302786,False
2021-09-01,XBTU21,1440,1440,30.968592927594905,12.844444402127264,49.44307938003083,49.95990973490683,17.565301103697816,True
2021-09-01,XBTUSD,1440,1440,0.5012415619831678,0.011353140372150074,0.9909482590967577,0.9995187423594842,11.410533659171856,False
2021-10-01,ETHUSD,1440,1440,1.0502984858662412,0.030914798830927737,3.405192789230213,3.633781499716715,16.934141571148697,False
