date,execid,orderid,symbol,side,lastqty,lastpx,exectype,cumqty,execcost,execcomm,transacttime,timestamp,source_row,source_file,time,fill_count,batch_key
2021-12-24,722af3be-2c85-7c35-68b1-931b1305771d,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,20100,51077.5,Trade,988600,39351981,15740,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292219,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,aaf85d15-8432-c423-8c25-71f7a0118521,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,4900,51077.0,Trade,993500,9593367,3837,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292220,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,504c221b-d7bd-db53-2532-21a4b4fdd610,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,15000,51075.0,Trade,1008500,29368650,11747,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292221,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,058e5ca4-3e05-3b33-62be-ea8f104ce0c3,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,9900,51074.5,Trade,1018400,19383408,7753,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292222,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,4a590ea8-0438-3c3c-c6b1-69d342c10be8,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,37700,51074.5,Trade,1056100,73813584,29525,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292223,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,73a1c4d3-041b-499e-98b5-6673eb56200e,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,300,51071.0,Trade,1056400,587418,234,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292224,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,509d390c-df20-591b-e56a-664e970e4397,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,67300,51070.5,Trade,1123700,131778784,52711,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292225,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,8cf6b4e6-c157-2735-0776-233f4ae457b3,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,200,51066.0,Trade,1123900,391650,156,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292226,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,8ab34ca2-d315-56b6-40b5-d384fe296691,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,60000,51066.0,Trade,1183900,117495000,46998,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292227,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,28c5c34d-0898-00e7-a6e8-ddeaa141f326,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,20000,51064.0,Trade,1203900,39166600,15666,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292228,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
