posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2019-04-22,True,434819099,434819099.4882125,0.488212525844574,-0.0010450566187500954,True
2019-04-23,True,1454553175,1454553174.800452,-0.19954800605773926,-0.20059306267648935,True
2019-04-24,True,1016807221,1016807220.8227967,-0.17720329761505127,-0.3777963602915406,True
2019-04-25,True,632114485,632114482.6681452,-2.331854820251465,-2.7096511805430055,True
2019-04-26,True,-521884844,-521884841.20460457,2.7953954339027405,0.08574425335973501,True
2019-04-27,True,352464440,352464439.5901397,-0.4098603129386902,-0.3241160595789552,True
2019-04-28,True,4700342,4700343.781505983,1.7815059833228588,1.4573899237439036,True
2019-04-29,True,-71113590,-71113583.26853456,6.731465443968773,8.188855367712677,True
2019-04-30,True,117986483,117986474.95846134,-8.041538655757904,0.14731671195477247,True
2019-05-01,True,-805406868,-805406868.4765263,-0.47652626037597656,-0.3292095484212041,True
2019-05-02,True,-54379834,-54379833.34590398,0.6540960222482681,0.32488647382706404,True
2019-05-03,True,-733928111,-733928073.7283096,37.271690368652344,37.59657684247941,True
2019-05-04,True,52534985,52534947.42340258,-37.576597422361374,0.019979420118033886,True
2019-05-05,True,1208678674,1208678673.7535503,-0.24644970893859863,-0.22647028882056475,True
2019-05-06,True,2042666165,2042666165.2255175,0.22551751136779785,-0.0009527774527668953,True
2019-05-07,True,-651072136,-651072136.3394572,-0.3394571542739868,-0.3404099317267537,True
2019-05-08,True,1264798647,1264798650.1613388,3.1613388061523438,2.82092887442559,True
2019-05-09,True,-514044216,-514044218.978021,-2.978021025657654,-0.15709215123206377,True
2019-05-10,True,-194759649,-194759649.03813756,-0.03813755512237549,-0.19522970635443926,True
2019-05-11,True,1069844363,1069844363.1945015,0.19450151920318604,-0.0007281871512532234,True
2019-05-12,True,-269855561,-269855560.2627247,0.7372753024101257,0.7365471152588725,True
2019-05-13,True,1460351568,1460353216.2622135,1648.2622134685516,1648.9987605838105,True
2019-05-14,True,-2487303815,-2487305464.1573935,-1649.1573934555054,-0.15863287169486284,True
2019-05-15,True,1821028702,1821028702.1325142,0.13251423835754395,-0.026118633337318897,True
2019-05-16,True,463188112,463188112.0896512,0.08965122699737549,0.06353259366005659,True
2019-05-17,True,393169778,393169777.47228235,-0.527717649936676,-0.46418505627661943,True
2019-05-18,True,126523852,126523852.37827745,0.378277450799942,-0.08590760547667742,True
2019-05-19,True,653061614,653061614.084838,0.08483803272247314,-0.0010695727542042732,True
2019-05-20,True,246531321,246531320.9999837,-1.6301870346069336e-05,-0.0010858746245503426,True
2019-05-21,True,579951781,579951780.9998735,-0.0001264810562133789,-0.0012123556807637215,True
2019-05-22,True,48660468,48660467.83367867,-0.16632132977247238,-0.1675336854532361,True
2019-05-23,True,816847047,816847046.8379488,-0.16205120086669922,-0.3295848863199353,True
2019-05-24,True,-311323539,-311323539.00658655,-0.006586551666259766,-0.3361714379861951,True
2019-05-25,True,-36371157,-36371156.42287469,0.5771253108978271,0.24095387291163206,True
2019-05-26,True,-16461,-16461.0,0.0,0.24095387291163206,True
2019-05-27,True,132347660,132347660.22734204,0.22734203934669495,0.468295912258327,True
2019-05-28,True,12089,12089.0,0.0,0.468295912258327,True
2019-05-29,True,13212662,13212661.774649397,-0.22535060346126556,0.24294530879706144,True
2019-05-30,True,-457559222,-457559222.53604996,-0.5360499620437622,-0.29310465324670076,True
2019-05-31,True,217907897,217907897.24775952,0.24775952100753784,-0.04534513223916292,True
2019-06-01,True,-253853256,-253853258.05121386,-2.05121386051178,-2.0965589927509427,True
