posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2019-03-13,True,57520,57520,0,0,True
2019-03-14,True,4623,4623,0,0,True
2019-03-15,True,-186898113,-186898112,1,1,True
2019-03-16,True,119058057,119058056,-1,0,True
2019-03-17,True,93210593,93210593,0,0,True
2019-03-18,True,-53896481,-53896478,3,3,True
2019-03-19,True,50348688,50348686,-2,1,True
2019-03-20,True,-127,-127,0,1,True
2019-03-21,True,-3958,-3958,0,1,True
2019-03-22,True,-18854949,-18854949,0,1,True
2019-03-23,True,-16503702,-16503702,0,1,True
2019-03-24,True,105546267,105546278,11,12,True
2019-03-25,True,-12360040,-12360040,0,12,True
2019-03-26,True,318393977,318393965,-12,0,True
2019-03-27,True,8693298,8693298,0,0,True
2019-03-28,True,131555253,131555253,0,0,True
2019-03-29,True,303649614,303649614,0,0,True
2019-03-30,True,241665195,241665227,32,32,True
2019-03-31,True,-7838535,-7838535,0,32,True
2019-04-01,True,-48715816,-48715816,0,32,True
2019-04-02,True,-7476784228,-7476784260,-32,0,True
2019-04-03,True,1887754789,1887754789,0,0,True
2019-04-04,True,1352008939,1352008925,-14,-14,True
2019-04-05,True,270662113,270662127,14,0,True
2019-04-06,True,435214129,435214114,-15,-15,True
2019-04-07,True,1160995415,1160995431,16,1,True
2019-04-08,True,-150136891,-150136879,12,13,True
2019-04-09,True,340907047,340907035,-12,1,True
2019-04-10,True,160174933,160174933,0,1,True
2019-04-11,True,304010738,304010737,-1,0,True
2019-04-12,True,625957786,625957786,0,0,True
2019-04-13,True,221090718,221090718,0,0,True
2019-04-14,True,183858909,183858910,1,1,True
2019-04-15,True,-355168090,-355168090,0,1,True
2019-04-16,True,95346018,95346017,-1,0,True
2019-04-17,True,222319309,222319309,0,0,True
2019-04-18,True,280921670,280921671,1,1,True
2019-04-19,True,11137173,11137204,31,32,True
2019-04-20,True,-52542235,-52542266,-31,1,True
2019-04-21,True,365003562,365003565,3,4,True
2019-04-22,True,434819099,434819095,-4,0,True
2019-04-23,True,1454553175,1454553175,0,0,True
2019-04-24,True,1016807221,1016807221,0,0,True
2019-04-25,True,632114485,632114442,-43,-43,True
2019-04-26,True,-521884844,-521884800,44,1,True
2019-04-27,True,352464440,352464438,-2,-1,True
2019-04-28,True,4700342,4700351,9,8,True
2019-04-29,True,-71113590,-71113625,-35,-27,True
2019-04-30,True,117986483,117986511,28,1,True
2019-05-01,True,-805406868,-805406869,-1,0,True
2019-05-02,True,-54379834,-54379833,1,1,True
2019-05-03,True,-733928111,-733928075,36,37,True
2019-05-04,True,52534985,52534949,-36,1,True
2019-05-05,True,1208678674,1208678673,-1,0,True
2019-05-06,True,2042666165,2042666165,0,0,True
2019-05-07,True,-651072136,-651072136,0,0,True
2019-05-08,True,1264798647,1264798696,49,49,True
2019-05-09,True,-514044216,-514044265,-49,0,True
2019-05-10,True,-194759649,-194759649,0,0,True
2019-05-11,True,1069844363,1069844363,0,0,True
2019-05-12,True,-269855561,-269855551,10,10,True
2019-05-13,True,1460351568,1460351557,-11,-1,True
2019-05-14,True,-2487303815,-2487303814,1,0,True
2019-05-15,True,1821028702,1821028703,1,1,True
2019-05-16,True,463188112,463188112,0,1,True
2019-05-17,True,393169778,393169776,-2,-1,True
2019-05-18,True,126523852,126523853,1,0,True
2019-05-19,True,653061614,653061614,0,0,True
2019-05-20,True,246531321,246531321,0,0,True
2019-05-21,True,579951781,579951781,0,0,True
2019-05-22,True,48660468,48660470,2,2,True
2019-05-23,True,816847047,816847045,-2,0,True
2019-05-24,True,-311323539,-311323539,0,0,True
2019-05-25,True,-36371157,-36371157,0,0,True
2019-05-26,True,-16461,-16461,0,0,True
2019-05-27,True,132347660,132347661,1,1,True
2019-05-28,True,12089,12089,0,1,True
2019-05-29,True,13212662,13212662,0,1,True
2019-05-30,True,-457559222,-457559223,-1,0,True
2019-05-31,True,217907897,217907898,1,1,True
2019-06-01,True,-253853256,-253853245,11,12,True
2019-06-02,True,-808485545,-808485557,-12,0,True
2019-06-03,True,-11935474,-11935474,0,0,True
2019-06-04,True,1301142706,1301142706,0,0,True
2019-06-05,True,937083,937083,0,0,True
2019-06-06,True,1717858,1717858,0,0,True
2019-06-07,True,-6182712,-6182712,0,0,True
2019-06-08,True,4440841,4440841,0,0,True
2019-06-09,True,-3387739,-3387739,0,0,True
2019-06-10,True,616978933,616978933,0,0,True
2019-06-11,True,29123972,29123973,1,1,True
2019-06-12,True,-161333169,-161333169,0,1,True
2019-06-13,True,-11928135,-11928135,0,1,True
