date,account_net_sat,xbtusd_net_sat,other_net_sat,cumulative_sat,drawdown_sat
2018-09-04,249434,249434,0,3803571063,-27006412
2018-09-05,589982143,589982143,0,4393553206,0
2018-09-06,-1193728792,-1193728792,0,3199824414,-1193728792
2018-09-07,67712863,67712863,0,3267537277,-1126015929
2018-09-08,-18,-18,0,3267537259,-1126015947
2018-09-09,112002682,112002682,0,3379539941,-1014013265
2018-09-10,296431088,296431088,0,3675971029,-717582177
2018-09-11,60562279,34934613,25627666,3736533308,-657019898
2018-09-12,61728524,-11,61728535,3798261832,-595291374
2018-09-13,-27175699,-2704472,-24471227,3771086133,-622467073
2018-09-14,-536093719,-64805896,-471287823,3234992414,-1158560792
2018-09-15,172768611,70591382,102177229,3407761025,-985792181
2018-09-16,-145429545,-24,-145429521,3262331480,-1131221726
2018-09-17,66351438,-1,66351439,3328682918,-1064870288
2018-09-18,-347211803,-2,-347211801,2981471115,-1412082091
2018-09-19,-309070407,-5,-309070402,2672400708,-1721152498
2018-09-20,354771170,2,354771168,3027171878,-1366381328
2018-09-21,111990910,-5,111990915,3139162788,-1254390418
2018-09-22,-1574562129,-482,-1574561647,1564600659,-2828952547
2018-09-23,0,0,0,1564600659,-2828952547
2018-09-24,3452855,-10184494,13637349,1568053514,-2825499692
2018-09-25,151164271,636,151163635,1719217785,-2674335421
2018-09-26,-428100,-6,-428094,1718789685,-2674763521
2018-09-27,129196218,3,129196215,1847985903,-2545567303
2018-09-28,65330967,-5,65330972,1913316870,-2480236336
2018-09-29,-156031075,-5,-156031070,1757285795,-2636267411
2018-09-30,-6,-6,0,1757285789,-2636267417
2018-10-01,-9,-9,0,1757285780,-2636267426
2018-10-02,888665,-6,888671,1758174445,-2635378761
2018-10-03,-56745682,-6,-56745676,1701428763,-2692124443
2018-10-04,37,-6,43,1701428800,-2692124406
2018-10-05,13,-11,24,1701428813,-2692124393
2018-10-06,26641656,-15,26641671,1728070469,-2665482737
2018-10-07,54989992,-6,54989998,1783060461,-2610492745
2018-10-08,35138041,-6,35138047,1818198502,-2575354704
2018-10-09,-13458726,-9,-13458717,1804739776,-2588813430
2018-10-10,40248624,15845686,24402938,1844988400,-2548564806
2018-10-11,79215753,79215698,55,1924204153,-2469349053
2018-10-12,116350405,116350407,-2,2040554558,-2352998648
2018-10-13,21205608,21205615,-7,2061760166,-2331793040
2018-10-14,-22,-14,-8,2061760144,-2331793062
2018-10-15,486510294,481478131,5032163,2548270438,-1845282768
2018-10-16,-28732692,-28732731,39,2519537746,-1874015460
2018-10-17,18178673,18178667,6,2537716419,-1855836787
2018-10-18,36,3,33,2537716455,-1855836751
2018-10-19,24937584,24937575,9,2562654039,-1830899167
2018-10-20,12,6,6,2562654051,-1830899155
2018-10-21,29,6,23,2562654080,-1830899126
2018-10-22,6,6,0,2562654086,-1830899120
2018-10-23,30,6,24,2562654116,-1830899090
2018-10-24,13,6,7,2562654129,-1830899077
2018-10-25,12,6,6,2562654141,-1830899065
2018-10-26,33,6,27,2562654174,-1830899032
2018-10-27,23,7,16,2562654197,-1830899009
2018-10-28,11,6,5,2562654208,-1830898998
2018-10-29,22,6,16,2562654230,-1830898976
2018-10-30,14250245,14250219,26,2576904475,-1816648731
2018-10-31,38,16,22,2576904513,-1816648693
2018-11-01,19,6,13,2576904532,-1816648674
2018-11-02,14,6,8,2576904546,-1816648660
2018-11-03,11,6,5,2576904557,-1816648649
2018-11-04,61943875,6,61943869,2638848432,-1754704774
2018-11-05,185107554,6,185107548,2823955986,-1569597220
2018-11-06,-111247838,20,-111247858,2712708148,-1680845058
2018-11-07,165861829,13,165861816,2878569977,-1514983229
2018-11-08,-16261489,7,-16261496,2862308488,-1531244718
2018-11-09,237066142,-319,237066461,3099374630,-1294178576
2018-11-10,-506056764,-33,-506056731,2593317866,-1800235340
2018-11-11,53553656,-10,53553666,2646871522,-1746681684
2018-11-12,-170404592,-6,-170404586,2476466930,-1917086276
2018-11-13,-61590952,-12,-61590940,2414875978,-1978677228
2018-11-14,116131573,-32,116131605,2531007551,-1862545655
2018-11-15,954448164,25472681,928975483,3485455715,-908097491
2018-11-16,372114573,73,372114500,3857570288,-535982918
2018-11-17,3443161,29,3443132,3861013449,-532539757
2018-11-18,-45340705,-43129923,-2210782,3815672744,-577880462
2018-11-19,-140153521,22147179,-162300700,3675519223,-718033983
2018-11-20,75612240,69828837,5783403,3751131463,-642421743
2018-11-21,809933071,77877150,732055921,4561064534,0
2018-11-22,160533310,160533324,-14,4721597844,0
2018-11-23,1084161959,552094846,532067113,5805759803,0
2018-11-24,68517356,50687568,17829788,5874277159,0
2018-11-25,1942484591,1828570671,113913920,7816761750,0
2018-11-26,4323752,-92453598,96777350,7821085502,0
2018-11-27,1482079051,1389291719,92787332,9303164553,0
2018-11-28,109587326,109587333,-7,9412751879,0
2018-11-29,319704052,319704069,-17,9732455931,0
2018-11-30,1108152140,1108152148,-8,10840608071,0
2018-12-01,88706890,88706892,-2,10929314961,0
2018-12-02,-366336959,-366336947,-12,10562978002,-366336959
2018-12-03,467108785,467108788,-3,11030086787,0
2018-12-04,728321469,728321478,-9,11758408256,0
2018-12-05,190800471,190800473,-2,11949208727,0
2018-12-06,637236646,637236655,-9,12586445373,0
2018-12-07,1068447065,1031879570,36567495,13654892438,0
2018-12-08,1147498832,1147500845,-2013,14802391270,0
2018-12-09,-69337111,-69337085,-26,14733054159,-69337111
2018-12-10,374584667,263287176,111297491,15107638826,0
2018-12-11,-369122530,-369122526,-4,14738516296,-369122530
2018-12-12,-179994392,-179994381,-11,14558521904,-549116922
2018-12-13,-396678599,-396678596,-3,14161843305,-945795521
2018-12-14,641818345,641818350,-5,14803661650,-303977176
2018-12-15,707109348,707109351,-3,15510770998,0
2018-12-16,330229203,330229210,-7,15841000201,0
2018-12-17,395665998,395666001,-3,16236666199,0
2018-12-18,-3005990558,-2657595270,-348395288,13230675641,-3005990558
2018-12-19,1254574379,1252902643,1671736,14485250020,-1751416179
2018-12-20,269501563,151386273,118115290,14754751583,-1481914616
2018-12-21,642229732,851342262,-209112530,15396981315,-839684884
2018-12-22,588352894,588352894,0,15985334209,-251331990
2018-12-23,-199838693,-199838693,0,15785495516,-451170683
2018-12-24,325323951,325323951,0,16110819467,-125846732
2018-12-25,1298933996,1261290051,37643945,17409753463,0
2018-12-26,408307823,408307823,0,17818061286,0
2018-12-27,334250426,334250426,0,18152311712,0
2018-12-28,551739876,551743744,-3868,18704051588,0
2018-12-29,15133353,15133353,0,18719184941,0
2018-12-30,-58399630,-58399630,0,18660785311,-58399630
2018-12-31,181786921,181786921,0,18842572232,0
2019-01-01,346724781,346724781,0,19189297013,0
2019-01-02,50727970,52389179,-1661209,19240024983,0
2019-01-03,39295750,39295750,0,19279320733,0
