episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd
1539,2018-12-06 05:07:21.360492,2018-12-06 05:08:19.510712,True,short,123,-14,0,1,1,26455,26578,1,1,1,137,0.01615283888888889,3780.00378000378,3762.510346903454
1540,2018-12-06 05:08:19.510712,2018-12-06 05:13:56.829798,True,long,58564313,-4535420,0,357973,357973,9514772548,9456208235,357973,50,32,63099733,0.09369974611111112,3762.2864676386375,3785.5871095884345
1541,2018-12-06 05:13:56.829798,2018-12-06 05:33:33.976536,True,short,91719924,-7453905,0,693496,693496,18115721020,18207440944,350496,21,41,99173829,0.326985205,3828.144622200635,3808.860356229971
1542,2018-12-06 05:33:33.976536,2018-12-06 06:02:09.769969,True,long,59765184,-4574740,0,349504,349504,9179373056,9119607872,349504,22,1,64339924,0.47660928694444443,3807.4931465123364,3832.445483462998
1543,2018-12-06 06:02:09.769969,2018-12-06 14:52:54.228625,True,short,168497474,769494,-6646,1400496,1400496,38345543248,38514040722,700404,54,115,167721334,8.84568296,3652.3044958374558,3636.3258015667216
1544,2018-12-06 14:52:54.228625,2018-12-06 15:28:16.727304,True,long,17487622,5640,0,347924,347924,9454486776,9436999154,347924,1,20,17481982,0.5895829663888889,3679.9882240376833,3686.807578577854
1545,2018-12-06 15:28:16.727304,2018-12-06 16:16:38.411192,True,short,24303961,1012016,0,127967,127967,3539951121,3564255082,127967,13,7,23291945,0.8060233022222222,3614.9369193507573,3590.287368775925
1546,2018-12-06 16:16:38.411192,2018-12-06 23:36:42.924261,True,long,3786268,295815,-1697,15617,15617,440219801,436433533,15617,4,2,3488756,7.334586963611112,3547.546013269857,3578.322658355402
1547,2018-12-06 23:36:42.924261,2018-12-06 23:38:49.875793,True,short,83852770,4976790,0,349383,349383,9827794407,9911647177,349383,11,1,78875980,0.035264314444444445,3555.049948451776,3524.9741416416036
1548,2018-12-06 23:38:49.875793,2018-12-06 23:54:46.642726,True,long,109454528,5164321,0,350617,350617,10273903675,10164449147,350617,2,16,104290207,0.2657685925,3412.695028990526,3449.4441846214886
1549,2018-12-06 23:54:46.642726,2018-12-07 00:54:12.261320,True,short,333378871,10043191,0,1056851,1056851,30728452766,31061831637,706851,29,13,323335680,0.9904496094444445,3439.323834649332,3402.410432040035
1550,2018-12-07 00:54:12.261320,2018-12-07 00:54:41.629384,True,long,43043996,15506253,0,347129,347129,10359023618,10315979622,347129,1,1,27537743,0.008157795555555555,3350.9818376784397,3364.9639948852546
1551,2018-12-07 00:54:41.629384,2018-12-07 00:56:44.484014,True,short,1040336,128760,0,2871,2871,85320378,86360714,2871,1,1,911576,0.03412628611111111,3364.9639948852546,3324.4282811279213
1552,2018-12-07 00:56:44.484014,2018-12-07 00:58:05.913079,True,long,31497892,-3773949,0,347129,347129,10440160957,10408663065,347129,24,42,35271841,0.02261918472222222,3324.9391597478607,3335.0008337502086
1553,2018-12-07 00:58:05.913079,2018-12-07 00:59:32.815139,True,short,43795944,5282078,0,352871,352871,10584888159,10628684103,352871,2,2,38513866,0.024139461111111114,3333.7244069032963,3319.9876539787306
1554,2018-12-07 00:59:32.815139,2018-12-07 01:01:43.011134,True,long,-38184190,15748392,0,347129,347129,10480865897,10519050087,347129,1,1,-53932582,0.03616555416666667,3312.0259662835756,3300.0033000033
1555,2018-12-07 01:01:43.011134,2018-12-07 01:02:05.644971,True,short,-325026,46107,0,2871,2871,86999913,86674887,2871,1,5,-371133,0.006287176944444445,3300.0033000033,3312.3781286268077
1556,2018-12-07 01:02:05.644971,2018-12-07 01:02:54.786196,True,long,84890995,2649701,0,347129,347129,10479477381,10394586386,347129,32,7,82241294,0.013650340277777777,3312.4648050614464,3339.5171977937707
1557,2018-12-07 01:02:54.786196,2018-12-07 16:21:00.016123,True,short,623386217,24122281,-31960594,5649432,5649432,168355925414,168979311631,1400286,234,323,567303342,15.3014527575,3355.6478550473457,3343.2684424331546
1558,2018-12-07 16:21:00.016123,2018-12-07 16:23:02.381632,True,long,91125466,5460218,0,345126,345126,10669582492,10578457026,345126,1,5,85665248,0.03399041916666667,3234.672024503056,3262.5362957162897
1559,2018-12-07 16:23:02.381632,2018-12-07 16:34:21.995498,True,short,1970866,76175,0,4874,4874,149392974,151363840,4874,1,1,1894691,0.18878162944444446,3262.5362957162897,3220.0557279730747
